,GSWA_sample_id,area,equivalent_diameter,perimeter,minor_axis_length,major_axis_length,solidity,convex_area,form_factor,roundness,compactness,aspect_ratio,minimum_Feret,maximum_Feret,U238_ppm,Th232_ppm,SiO2_pct,oscillatory_zonation,sector_zonation,homogenous_zonation,bin,Dataset
25,178155.0,5830.1,84.735,341.355,56.53,133.015,0.95,6166.139999999999,0.615,0.41500000000000004,0.64,2.325,54.595,127.97999999999999,927.5,1657.5,49.157,1.0,0.0,1.0,50.0,train
26,178155.0,14540.02,133.37,512.29,98.77,185.365,0.95,15259.255000000001,0.665,0.51,0.7150000000000001,1.945,97.61500000000001,191.735,911.0,1496.5,49.157,1.0,0.0,1.0,50.0,train
27,178155.0,7467.73,97.47,391.19500000000005,64.305,152.82,0.95,7860.01,0.615,0.41000000000000003,0.635,2.375,62.55,148.745,1044.5,1884.0,49.157,1.0,0.0,1.0,50.0,train
28,178155.0,14043.66,130.315,510.01,94.78,187.365,0.945,14784.89,0.635,0.475,0.685,2.11,93.16499999999999,190.825,1199.5,2438.0,49.157,1.0,0.0,1.0,50.0,train
29,178155.0,8767.2,105.65,399.81500000000005,88.065,134.415,0.955,9159.36,0.6950000000000001,0.685,0.815,1.6300000000000001,86.19,144.86,494.0,532.0,49.157,1.0,0.0,1.0,50.0,train
30,178155.0,7933.965,100.43,447.505,59.0,184.305,0.95,8353.02,0.51,0.325,0.56,3.4,54.865,176.49,994.0,1625.5,49.157,1.0,0.0,1.0,50.0,train
31,178155.0,7831.46,99.725,377.32000000000005,83.78999999999999,125.945,0.96,8131.105,0.69,0.68,0.81,1.6400000000000001,80.21000000000001,134.315,498.0,610.5,49.157,1.0,0.0,1.0,50.0,train
32,178155.0,8723.875,105.38499999999999,417.99,72.41,158.135,0.96,9083.71,0.63,0.445,0.665,2.185,69.33000000000001,153.62,1106.5,1798.5,49.157,1.0,0.0,1.0,50.0,train
33,178155.0,7788.135,99.46,395.495,68.13499999999999,149.665,0.965,8055.455,0.625,0.44,0.66,2.1950000000000003,63.35000000000001,143.075,1110.5,1877.0,49.157,1.0,0.0,1.0,50.0,train
34,178155.0,7174.18,95.57,422.99,54.885,176.99,0.9450000000000001,7603.6849999999995,0.525,0.325,0.56,3.425,52.535,172.525,643.5,769.5,49.157,1.0,0.0,1.0,50.0,train
35,178155.0,7964.09,100.525,393.475,68.29499999999999,150.82,0.955,8334.375,0.645,0.445,0.665,2.21,67.0,149.655,756.0,942.5,49.157,1.0,0.0,1.0,50.0,train
36,178155.0,6150.505,86.725,345.655,60.36,129.85999999999999,0.965,6361.585000000001,0.625,0.445,0.665,2.145,55.395,122.31,993.5,1650.5,49.157,1.0,0.0,1.0,50.0,train
37,178155.0,4902.9,77.035,286.595,56.69499999999999,107.56,0.97,5066.235,0.745,0.555,0.74,1.8450000000000002,54.010000000000005,105.385,977.0,2281.5,49.157,1.0,0.0,1.0,50.0,train
