,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
28,-0.9945861299938393,0.7512313422497083,0.7991425005364706,1199.5,2438.0,1.0,0.0,1.0,49.157,train,178155.0,50.0
29,-1.9739047461192247,-1.2327658200038614,0.70779256165515,494.0,532.0,1.0,0.0,1.0,49.157,train,178155.0,50.0
30,-2.0117701731471223,3.3223434356041115,0.3369239053003752,994.0,1625.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
31,-2.214234469159666,-1.2025358230004304,0.47782562709157705,498.0,610.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
32,-2.0246513736701015,0.9210052095901683,0.04021285611504344,1106.5,1798.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
33,-2.2649810967105424,0.9512352065935994,-0.1897540784485302,1110.5,1877.0,1.0,0.0,1.0,49.157,train,178155.0,50.0
34,-2.1889313250809517,3.297263444625396,0.5325687506088903,643.5,769.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
35,-2.201812525603931,0.895925218611454,0.2358577014235638,756.0,942.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
36,-2.7242194868984067,0.8609820385271286,-0.14660819211909398,993.5,1650.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
37,-3.1230145138838306,-0.6682450346376863,-0.4275333266615549,977.0,2281.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
38,-1.6134405290766878,0.14050181038109757,0.40219318654391706,798.0,1348.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
39,-0.9262943594041174,-1.8979360601677466,0.8309821604460673,653.0,1164.5,1.0,0.0,1.0,49.157,train,178155.0,50.0
40,-3.42751947931003,-2.1582767251168917,-0.5160020104269116,73.60681774,5.0215685385,1.0,0.0,0.0,49.297,train,178187.0,50.0
41,-1.3787926325056035,0.38415475195743043,0.24826692441661394,97.57295171,158.7124996,1.0,0.0,0.0,49.965,train,185922.0,50.0
42,-2.86620750400415,1.7307915887797214,4.33163198235586,92.92458876,358.45069705000003,1.0,0.0,0.0,49.965,train,185922.0,50.0
43,-3.281958702674847,1.3898133349084072,2.8682330191437044,255.17729864999998,502.96276015,1.0,0.0,0.0,49.965,train,185922.0,50.0
44,-2.902807673868566,-2.4129380492076025,1.6401025767797817,130.79335985,186.90985665,1.0,0.0,0.0,49.965,train,185922.0,50.0
45,-2.988579682526497,-0.5017108006100466,0.4166665951035992,172.6606161,385.61866975000004,1.0,0.0,0.0,49.965,train,185922.0,50.0
46,-2.57953630462546,1.9528950176077131,1.4746225092999334,93.280848155,287.893347715,1.0,0.0,0.0,49.965,train,185922.0,50.0
47,-2.451848679612332,-0.925772035995854,0.43772013374141205,99.78174951,142.3570322,1.0,0.0,0.0,49.965,train,185922.0,50.0
48,-2.1833658075119997,5.106567916443695,2.3089410506467427,247.17306965,646.257405,1.0,0.0,0.0,49.965,train,185922.0,50.0
49,-3.259448849001669,1.3476703825085574,1.5873998048267979,235.238331105,428.601822115,1.0,0.0,0.0,49.965,train,185922.0,50.0
50,-1.8297516267618372,-1.1030112612543175,1.4506493674549836,128.58456205,203.26532405,1.0,0.0,0.0,49.965,train,185922.0,50.0
51,-1.804214778705718,1.3038165323276854,1.0808106082828215,122.78913084999999,330.2045015,1.0,0.0,0.0,49.965,train,185922.0,50.0
52,-1.031920247168917,-1.7942326989341963,-0.2239957478790405,138.1538772,171.2155398,1.0,0.0,0.0,49.965,train,185922.0,50.0
53,-1.807241773088658,-1.145154213654168,0.169816153138072,108.64559450499999,128.904386015,1.0,0.0,0.0,49.965,train,185922.0,50.0
