epoch,concordance_cc,loss,mape_metric,pearson_cc,r_square,smape_metric,val_concordance_cc,val_loss,val_mape_metric,val_pearson_cc,val_r_square,val_smape_metric
0,-0.014515062794089317,3382.806396484375,89.18500518798828,-0.09209123253822327,-74.16153717041016,71.41656494140625,-0.07047314941883087,1474.800048828125,58.957603454589844,-0.5575308203697205,-18.959604263305664,45.007774353027344
1,-0.027077902108430862,2388.149658203125,77.00340270996094,-0.14248314499855042,-52.05361557006836,59.2062873840332,-0.031399134546518326,1854.9129638671875,70.74215698242188,-0.5107306241989136,-24.108068466186523,56.592552185058594
2,-0.024350808933377266,2291.4619140625,75.44786071777344,-0.12323503941297531,-49.904239654541016,58.342750549316406,-0.04999681934714317,1737.111328125,66.52996826171875,-0.5923700928688049,-22.512176513671875,52.521934509277344
3,-0.02615457959473133,2393.960205078125,75.41288757324219,-0.1641721874475479,-52.18183517456055,57.72921371459961,-0.08296685665845871,1504.594970703125,58.735599517822266,-0.6237607002258301,-19.362340927124023,45.18521499633789
4,-0.025656459853053093,2163.5205078125,72.91867065429688,-0.12825646996498108,-47.05906677246094,55.39448547363281,-0.09906525164842606,1389.830322265625,55.07716369628906,-0.6235129833221436,-17.807254791259766,41.76226043701172
5,-0.026965182274580002,2093.1201171875,71.32433319091797,-0.15095090866088867,-45.4931755065918,53.61190414428711,-0.06923716515302658,1568.321533203125,61.22919464111328,-0.6197855472564697,-20.224105834960938,47.33607482910156
6,-0.02589026838541031,2379.627197265625,74.23583984375,-0.13816684484481812,-51.85980987548828,53.941585540771484,-0.07647943496704102,1515.5941162109375,59.456092834472656,-0.6296966075897217,-19.508947372436523,45.67646789550781
7,-0.030571896582841873,1860.716064453125,67.90298461914062,-0.17050300538539886,-40.324520111083984,50.53023910522461,-0.05881176143884659,1508.86962890625,60.962890625,-0.5849654078483582,-19.416797637939453,46.40864562988281
8,-0.0282110795378685,1848.885986328125,66.1888656616211,-0.15499238669872284,-40.059627532958984,48.317466735839844,-0.03898590803146362,1650.314208984375,65.90505981445312,-0.571185827255249,-21.33134651184082,50.94599151611328
9,-0.032422985881567,1891.3673095703125,67.29993438720703,-0.12522609531879425,-41.001529693603516,47.252342224121094,-0.06326694786548615,1371.8824462890625,57.60272979736328,-0.5880914926528931,-17.55854034423828,42.81725311279297
10,-0.03231419250369072,1633.6573486328125,61.287742614746094,-0.15970677137374878,-35.27095031738281,42.82010269165039,-0.07075732201337814,1276.08544921875,55.164894104003906,-0.6762713193893433,-16.25933837890625,40.215492248535156
11,-0.038733940571546555,1678.943359375,60.62190246582031,-0.17855799198150635,-36.274688720703125,41.63821792602539,-0.023926034569740295,1674.276611328125,67.91319274902344,-0.5858949422836304,-21.650978088378906,52.384544372558594
12,-0.04337656870484352,1291.1783447265625,53.96142578125,-0.18199723958969116,-27.65300750732422,36.7110595703125,-0.10815782845020294,1040.107666015625,47.223907470703125,-0.7312592267990112,-13.059453964233398,33.23381042480469
13,-0.05218612030148506,1169.0052490234375,49.17044448852539,-0.19124478101730347,-24.934589385986328,32.60021209716797,-0.08322159945964813,1071.87451171875,49.69743347167969,-0.7653886675834656,-13.487993240356445,34.86900329589844
14,-0.06266437470912933,1031.94873046875,45.95310974121094,-0.20024685561656952,-21.885496139526367,29.979991912841797,-0.05528759956359863,987.2412719726562,48.78593826293945,-0.5651304721832275,-12.33998966217041,33.62067413330078
15,-0.06780726462602615,1107.5975341796875,45.422630310058594,-0.19329114258289337,-23.56420135498047,28.840354919433594,-0.04549430310726166,1068.87841796875,51.70510482788086,-0.5567331910133362,-13.44412899017334,36.08708953857422
16,-0.06754646450281143,879.7933349609375,41.213497161865234,-0.1924578696489334,-18.49833106994629,25.954662322998047,-0.12147238105535507,694.7803344726562,37.22332763671875,-0.7168517112731934,-8.375502586364746,24.427236557006836
17,-0.06100211292505264,809.6917724609375,38.78994369506836,-0.15433824062347412,-16.9378604888916,23.35401153564453,-0.16631880402565002,579.7446899414062,31.96218490600586,-0.7389527559280396,-6.816051959991455,20.607641220092773
18,-0.06332356482744217,672.5777587890625,35.17902755737305,-0.1488027274608612,-13.888147354125977,20.851028442382812,-0.4883943796157837,358.1119384765625,23.09439468383789,-0.8153645396232605,-3.8128018379211426,13.766669273376465
19,-0.05172424018383026,689.1318969726562,33.473567962646484,-0.10501251369714737,-14.254103660583496,19.528385162353516,-0.47007355093955994,360.201904296875,24.461294174194336,-0.7677949666976929,-3.8398823738098145,14.400096893310547
20,-0.07022423297166824,435.4770812988281,27.185993194580078,-0.12740206718444824,-8.614349365234375,15.34597396850586,-0.4915170669555664,314.7619323730469,23.729339599609375,-0.7323184013366699,-3.2234573364257812,13.525096893310547
21,-0.053156688809394836,412.0450439453125,26.908449172973633,-0.08801835030317307,-8.09218978881836,15.298833847045898,-0.7242293357849121,357.1907043457031,32.93434143066406,-0.8717131614685059,-3.797363758087158,15.460813522338867
22,-0.05815260484814644,366.4437255859375,24.703123092651367,-0.09260425716638565,-7.077421188354492,13.666149139404297,-0.09682907909154892,407.046875,29.97817611694336,-0.23697856068611145,-4.471916675567627,17.98386573791504
23,-0.012179204262793064,313.2125244140625,23.076887130737305,-0.0029110198374837637,-5.893081188201904,12.785489082336426,-0.6413393020629883,321.75433349609375,30.702434539794922,-0.7783981561660767,-3.316074848175049,14.028618812561035
24,-0.023240989074110985,302.1589660644531,22.024513244628906,-0.020876796916127205,-5.646748065948486,12.15976619720459,-0.5076977610588074,468.20562744140625,36.949195861816406,-0.8474341630935669,-5.299429416656494,15.484787940979004
25,-0.02461915649473667,349.47259521484375,22.987808227539062,-0.027297591790556908,-6.698138236999512,12.465337753295898,-0.4794745445251465,251.70468139648438,25.227779388427734,-0.5100096464157104,-2.3668575286865234,11.76968002319336
26,-0.01490692887455225,329.7709655761719,22.235538482666016,-0.01528545655310154,-6.259591579437256,12.145187377929688,-0.4783898591995239,411.522216796875,34.00697708129883,-0.7460088729858398,-4.531042098999023,14.385847091674805
27,0.05637848749756813,237.74258422851562,19.54541015625,0.0691063404083252,-4.2137017250061035,10.362305641174316,-0.553784966468811,306.68487548828125,29.55489730834961,-0.6924700736999512,-3.1110048294067383,13.288644790649414
28,0.03175001218914986,287.3279724121094,21.075218200683594,0.055401191115379333,-5.315590858459473,11.497901916503906,-0.4483581781387329,387.3711242675781,32.62089538574219,-0.707316517829895,-4.2036662101745605,13.788328170776367
29,0.05058641359210014,252.36561584472656,19.808656692504883,0.077532097697258,-4.538351535797119,10.53322982788086,-0.3792931139469147,235.0256805419922,23.72388458251953,-0.40226197242736816,-2.140141487121582,10.888202667236328
30,0.05568354204297066,292.3325500488281,20.763219833374023,0.07854966074228287,-5.426576614379883,10.99618148803711,-0.4821469187736511,268.79974365234375,26.54293441772461,-0.547966718673706,-2.597567558288574,12.038236618041992
31,0.027409039437770844,297.232666015625,20.992778778076172,0.04724770411849022,-5.5352044105529785,11.255598068237305,-0.37356773018836975,362.4172668457031,30.142822265625,-0.5678040981292725,-3.865339756011963,12.618118286132812
32,0.08010753989219666,241.30418395996094,19.2714900970459,0.1030450090765953,-4.291876316070557,10.286736488342285,-0.2941800057888031,629.2742919921875,39.89889144897461,-0.7851126194000244,-7.479803085327148,15.348542213439941
33,0.07946076989173889,229.17611694335938,19.01538848876953,0.11192181706428528,-4.022373199462891,10.06634521484375,-0.3549717366695404,238.4766082763672,23.721057891845703,-0.3927572965621948,-2.186621904373169,10.633546829223633
34,0.1065220832824707,192.90301513671875,17.84432029724121,0.13635383546352386,-3.216195583343506,9.417189598083496,-0.3473937213420868,336.502685546875,29.02080535888672,-0.5443980097770691,-3.5144176483154297,12.169232368469238
35,0.09797951579093933,204.335693359375,18.387775421142578,0.12786529958248138,-3.4705300331115723,9.74028491973877,-0.35140079259872437,352.57037353515625,30.020994186401367,-0.598394513130188,-3.7321314811706543,12.504064559936523
36,0.09498090296983719,217.888671875,18.6153564453125,0.12901069223880768,-3.7718448638916016,9.873308181762695,-0.31769102811813354,369.53131103515625,30.633106231689453,-0.5983108282089233,-3.9618687629699707,12.624974250793457
37,0.09785309433937073,195.08966064453125,17.779720306396484,0.1327212005853653,-3.2649974822998047,9.455182075500488,-0.32277315855026245,344.50018310546875,29.479454040527344,-0.5646370649337769,-3.6227540969848633,12.253768920898438
38,0.09168190509080887,178.03265380859375,17.53619956970215,0.12094985693693161,-2.885895252227783,9.198346138000488,-0.29252082109451294,308.3410949707031,27.37196159362793,-0.46431031823158264,-3.133105754852295,11.478719711303711
39,0.0999990776181221,175.2459716796875,16.986228942871094,0.12629739940166473,-2.82415509223938,8.852105140686035,-0.30462557077407837,197.4498291015625,21.657882690429688,-0.3306099772453308,-1.6311845779418945,9.847918510437012
40,0.12566304206848145,188.52349853515625,17.481538772583008,0.15980364382266998,-3.1192617416381836,9.230988502502441,-0.2578977346420288,199.3410186767578,21.35495376586914,-0.28657644987106323,-1.656710147857666,9.537402153015137
