,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,-7.3377733,0.101622835,0.20800412,24.971018,13.985168,326.32373,0,0
1,-6.49953,0.16510159,0.4120642,23.328512,13.817884,293.51654,0,1
2,-3.7301064,0.3241643,0.6584413,19.340454,11.193067,185.12688,0,2
3,-3.477932,0.21428862,0.43435854,18.878824,10.597257,175.25728,0,3
4,-6.1575413,0.08489011,0.25123402,23.7888,13.773352,280.1318,0,4
5,-8.35423,0.14246456,0.42919928,27.419159,16.531324,366.1058,0,5
6,-8.195341,0.12733759,0.445313,27.19554,16.38243,359.8872,0,6
7,-2.9992754,0.24711569,0.4666534,17.076132,9.540586,156.52362,0,7
8,-69.815125,0.008569811,0.09979918,80.16425,69.89009,2771.5618,0,8
9,-0.27767432,0.44849563,0.5258769,8.666439,4.549339,50.00561,0,9
10,-2.1971517,0.23650125,0.4078307,15.218205,8.357051,125.130104,1,0
11,-7.9984217,0.13557404,0.4124719,27.263428,16.376759,352.18018,1,1
12,-5.4845176,0.22643158,0.5686163,22.707558,13.347634,253.79102,1,2
13,-6.5431595,0.059762012,0.13513021,24.21331,13.6988,295.22415,1,3
14,-8.067193,0.08325409,0.27140403,26.00634,15.605731,354.87177,1,4
15,-2.2526047,0.31377032,0.5339877,14.850308,8.267823,127.30042,1,5
16,-3.2159896,0.30268884,0.57194126,18.05895,10.276663,165.00537,1,6
17,-9.537925,0.10094935,0.40464127,28.964228,17.654778,412.43326,1,7
18,-66.44072,0.009679112,0.09416791,78.092865,66.25873,2639.4944,1,8
19,-0.41572416,0.53910124,0.65200084,9.832527,5.214475,55.408604,1,9
20,-6.5871816,0.12547374,0.36582816,24.668367,14.482309,296.94708,2,0
21,-5.6736484,0.17861412,0.48633513,23.384022,13.623535,261.19324,2,1
22,-6.5123854,0.14578097,0.41752934,23.8222,14.132616,294.0197,2,2
23,-4.761938,0.16790408,0.4609882,21.48594,12.337642,225.51071,2,3
24,-1.3989573,0.28796968,0.40623647,12.941604,6.9550486,93.89037,2,4
25,-4.463521,0.15499659,0.3575441,19.533863,11.217107,213.83125,2,5
26,-4.39945,0.22287098,0.54720956,20.968424,12.059632,211.32364,2,6
27,-3.950521,0.25593096,0.54893917,19.573881,11.273102,193.75346,2,7
28,-4.9011445,0.17123957,0.41901618,21.723764,12.437818,230.95897,2,8
29,-0.3235494,0.4032049,0.4851195,9.057765,4.747417,51.80107,2,9
30,-6.0175734,0.12832151,0.3481774,22.765232,13.33863,274.65375,3,0
31,-2.2113707,0.26225594,0.46546242,15.44079,8.476922,125.68661,3,1
32,-7.7673874,0.15547659,0.45924568,26.70561,16.018734,343.13797,3,2
33,-3.8690782,0.20543548,0.46414778,19.233095,10.9631405,190.56596,3,3
34,-2.054,0.24045026,0.41733304,14.390222,7.9046965,119.52743,3,4
35,-18.9505,0.037723508,0.1921698,42.436413,27.267859,780.8226,3,5
36,-10.451013,0.11262977,0.46902406,30.811674,18.993137,448.16968,3,6
37,-9.516625,0.09837614,0.41428432,29.341053,17.794796,411.59964,3,7
38,-6.8692155,0.15196373,0.46197468,25.273243,14.940874,307.98532,3,8
39,-0.10300255,0.54519993,0.5856547,8.482113,4.36012,43.169308,3,9
40,-14.494584,0.042814754,0.23334916,35.23928,22.353052,606.42694,4,0
41,-5.1809974,0.17881505,0.47826833,22.601948,13.0567665,241.91183,4,1
42,-5.6277604,0.17866488,0.47487757,22.961954,13.415577,259.39725,4,2
43,-3.5837045,0.21039985,0.45480767,19.015244,10.696833,179.397,4,3
