FOLD 1 
,actual,predicted,repeat,fold
31,55.698,56.970547,0,2
32,63.145,61.703827,0,2
33,64.02,67.835945,0,2
34,66.914,70.31558,0,2
35,66.18,53.14933,0,2
36,68.51,64.16269,0,2
37,59.879,34.67746,0,2
38,50.02,59.72517,0,2
39,66.718,61.970898,0,2
40,61.596,61.149323,0,2
41,54.665,57.0561,0,2
42,63.145,48.78565,0,2
43,66.18,67.77739,0,2
44,66.914,65.177925,0,2
45,64.15,63.6031,0,2
46,49.12,56.59566,0,2
47,63.145,44.258133,0,2
48,54.665,58.11736,0,2
49,50.72,56.61627,0,2
50,53.068,55.04824,0,2
51,51.967,48.866856,0,2
52,64.15,62.654118,0,2
53,68.51,60.399723,0,2
54,67.32,68.0353,0,2
55,47.963,45.160446,0,2
56,68.5,80.036766,0,2
57,46.553,46.231953,0,2
58,53.068,58.607338,0,2
59,64.15,64.24983,0,2
60,68.5,88.19799,0,2
61,47.991,55.81094,0,2
62,68.5,59.7011,0,2
63,47.963,48.662724,0,2
64,66.718,69.60046,0,2
65,68.51,59.030697,0,2
66,50.72,57.72789,0,2
67,66.718,66.24373,0,2
68,61.596,54.17017,0,2
69,49.157,53.14858,0,2
70,54.665,57.587452,0,2
71,50.363,55.569065,0,2
72,54.665,58.28072,0,2
73,47.991,51.61988,0,2
74,66.914,67.373405,0,2
75,59.879,66.586555,0,2
76,64.02,64.531075,0,2
77,52.035,57.124073,0,2
78,50.1,49.86719,0,2
79,50.363,57.91007,0,2
80,66.54,63.95579,0,2
81,64.15,64.046776,0,2
82,61.596,59.562817,0,2
83,49.12,47.97091,0,2

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.27177554,0.64976835,0.6502871,8.045675,4.074437,44.12558,0,2

FOLD 4 
,actual,predicted,repeat,fold
0,49.117,50.14354,0,3
1,56.844,57.247803,0,3
2,50.1,43.119675,0,3
3,50.1,50.65911,0,3
4,46.553,49.381966,0,3
5,68.5,54.42411,0,3
6,49.199,53.452995,0,3
7,47.991,56.05422,0,3
8,46.553,49.9962,0,3
9,54.665,59.217796,0,3
10,49.199,51.92675,0,3
11,66.718,66.781525,0,3
12,66.8,65.268074,0,3
13,52.035,59.366188,0,3
14,55.698,55.497692,0,3
15,64.728,59.09845,0,3
16,61.596,57.319237,0,3
17,66.718,62.726646,0,3
18,68.51,51.735626,0,3
19,50.02,57.465202,0,3
20,63.145,49.589333,0,3
21,50.72,59.139984,0,3
22,50.02,57.63707,0,3
23,47.991,56.849052,0,3
24,51.967,50.60445,0,3
25,67.32,67.970634,0,3
26,67.515,64.30035,0,3
27,49.117,53.090233,0,3
28,51.967,51.830376,0,3
29,61.596,52.80896,0,3
30,47.963,44.530388,0,3
31,55.698,54.416904,0,3
32,63.145,59.297073,0,3
33,64.02,68.11906,0,3
34,66.914,67.93584,0,3
35,66.18,53.513268,0,3
36,68.51,61.002243,0,3
37,59.879,40.79409,0,3
38,50.02,59.994324,0,3
39,66.718,58.55511,0,3
40,61.596,61.932957,0,3
41,54.665,55.089127,0,3
42,63.145,51.317066,0,3
43,66.18,66.09221,0,3
44,66.914,60.914555,0,3
45,64.15,62.790966,0,3
46,49.12,57.52706,0,3
47,63.145,44.537354,0,3
48,54.665,57.288933,0,3
49,50.72,60.23046,0,3
50,53.068,52.258224,0,3
51,51.967,49.1584,0,3
52,64.15,60.449593,0,3
53,68.51,57.282288,0,3
54,67.32,68.3495,0,3
55,47.963,42.060143,0,3
56,68.5,78.11216,0,3
57,46.553,54.250732,0,3
58,53.068,48.631577,0,3
59,64.15,62.462738,0,3
60,68.5,79.48496,0,3
61,47.991,54.73197,0,3
62,68.5,58.27563,0,3
63,47.963,44.424232,0,3
64,66.718,70.1872,0,3
65,68.51,58.266212,0,3
66,50.72,59.572754,0,3
67,66.718,64.81461,0,3
68,61.596,52.32212,0,3
69,49.157,60.31178,0,3
70,54.665,55.13513,0,3
71,50.363,60.555412,0,3
72,54.665,55.589077,0,3
73,47.991,53.999763,0,3
74,66.914,66.65881,0,3
75,59.879,63.979416,0,3
76,64.02,61.495304,0,3
77,52.035,51.920555,0,3
78,50.1,45.115166,0,3
79,50.363,61.150803,0,3
80,66.54,66.55819,0,3
81,64.15,62.117825,0,3
82,61.596,58.176773,0,3
83,49.12,53.978394,0,3

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.17156082,0.56255555,0.56514496,9.554286,4.832507,50.19793,0,3

FOLD 5 
,actual,predicted,repeat,fold
0,49.117,54.59148,0,4
1,56.844,59.107708,0,4
2,50.1,42.683254,0,4
3,50.1,55.408722,0,4
4,46.553,49.43498,0,4
5,68.5,58.071415,0,4
6,49.199,51.07216,0,4
7,47.991,55.7116,0,4
8,46.553,53.078236,0,4
9,54.665,61.417515,0,4
10,49.199,51.371464,0,4
11,66.718,67.21108,0,4
12,66.8,66.077866,0,4
13,52.035,61.99699,0,4
14,55.698,57.76411,0,4
15,64.728,63.043137,0,4
16,61.596,58.92866,0,4
17,66.718,64.86733,0,4
18,68.51,55.02021,0,4
19,50.02,55.98362,0,4
20,63.145,49.855137,0,4
21,50.72,57.316956,0,4
22,50.02,59.25342,0,4
23,47.991,51.83861,0,4
24,51.967,47.182796,0,4
25,67.32,65.20176,0,4
26,67.515,65.81266,0,4
