,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.752922,0.85644674,0.8695134,4.634727,2.3191156,14.237512,0,0
1,0.7813542,0.8765961,0.8883749,4.344553,2.1925242,12.599148,0,1
2,0.72743595,0.84760904,0.8651869,4.9564357,2.510636,15.706107,0,2
3,0.74472004,0.85343665,0.86963266,4.6813684,2.36462,14.710136,1,0
4,0.7648016,0.8627717,0.8760592,4.6667957,2.3329766,13.552963,1,1
5,0.7587563,0.86272484,0.87260556,4.606728,2.3015223,13.9013195,1,2
6,0.77096665,0.873905,0.8798166,4.3895426,2.196602,13.197716,2,0
7,0.7322789,0.8459029,0.8604048,4.859716,2.4449024,15.427041,2,1
8,0.7568627,0.8578877,0.8753328,4.6837034,2.3622208,14.010434,2,2
9,0.76179355,0.86686647,0.87437546,4.446104,2.2305791,13.726299,3,0
10,0.7366754,0.85026926,0.86371565,4.697755,2.3711936,15.173699,3,1
11,0.77011126,0.86956346,0.8781512,4.5132427,2.253396,13.247005,3,2
12,0.77371556,0.8670316,0.88396573,4.309057,2.1689003,13.039313,4,0
13,0.7309067,0.85295004,0.8686721,4.794665,2.4398243,15.506107,4,1
14,0.7507578,0.858226,0.8666695,4.6338606,2.298742,14.362221,4,2
15,0.72563994,0.8484119,0.87301886,4.938748,2.5221894,15.809599,5,0
16,0.75981385,0.862039,0.87337196,4.477977,2.2421756,13.840379,5,1
17,0.7468252,0.8541789,0.8661638,4.798849,2.4014487,14.588828,5,2
18,0.75444883,0.8565106,0.87220937,4.648764,2.332412,14.149529,6,0
19,0.74601805,0.86033905,0.8727344,4.568916,2.314136,14.635342,6,1
20,0.7469071,0.8547803,0.86627007,4.850986,2.4342804,14.58411,6,2
21,0.7387496,0.84764504,0.8622378,4.7406306,2.3744342,15.054174,7,0
22,0.74052167,0.85055053,0.8618285,4.750019,2.3774493,14.952062,7,1
23,0.75472254,0.86077625,0.8777294,4.671497,2.3645234,14.133758,7,2
24,0.752339,0.8571853,0.869677,4.6925745,2.3549747,14.271105,8,0
25,0.7512642,0.8565904,0.8696632,4.5996556,2.3120654,14.333036,8,1
26,0.7161234,0.84393007,0.86082757,5.0757136,2.5788732,16.357977,8,2
27,0.75593865,0.8575329,0.8726084,4.581572,2.299105,14.06368,9,0
28,0.7333288,0.8450272,0.86033803,4.8868136,2.4538386,15.366537,9,1
29,0.77854264,0.87689024,0.8832893,4.2237086,2.1160913,12.761159,9,2
