,ENTITY_F1,OBSERVATION_F1
0,42.814613,14.237512
1,42.72638,12.599148
2,132.38095,15.706107
3,129.20963,14.710136
4,194.38263,13.552963
5,44.2375,13.9013195
6,141.71805,13.197716
7,360.74313,15.427041
8,45.729465,14.010434
9,47.863518,13.726299
10,78.39267,15.173699
11,59.733765,13.247005
12,149.84396,13.039313
13,47.858078,15.506107
14,53.221416,14.362221
15,272.21988,15.809599
16,71.78369,13.840379
17,59.28549,14.588828
18,48.863373,14.149529
19,482.13373,14.635342
20,124.39421,14.58411
21,49.522064,15.054174
22,44.649887,14.952062
23,133.29607,14.133758
24,71.76597,14.271105
25,189.7904,14.333036
26,123.296715,16.357977
27,72.9926,14.06368
28,62.7871,15.366537
29,149.6086,12.761159
