,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.22536403,0.56298053,0.569328,8.417584,4.171403,42.814613,0,0
1,0.22696036,0.61654186,0.6193771,7.8858852,4.004791,42.72638,0,1
2,-1.3951414,0.40020382,0.4629975,8.572052,3.8075223,132.38095,0,2
3,-1.3377631,0.30313691,0.33321863,11.511565,5.3818374,129.20963,1,0
4,-2.5169249,0.3352513,0.42893636,8.977671,3.8120005,194.38263,1,1
5,0.19961995,0.6278844,0.631558,7.6158366,3.8491254,44.2375,1,2
6,-1.5640755,0.37479886,0.4401732,8.77845,3.8545423,141.71805,2,0
7,-5.5268517,0.05423814,0.077668436,18.641417,8.285984,360.74313,2,1
8,0.17262614,0.65673125,0.6814499,7.394342,3.7222385,45.729465,2,2
9,0.1340152,0.6483447,0.6652314,7.630821,3.6778767,47.863518,3,0
10,-0.41834247,0.5245338,0.5555688,8.379052,3.9595013,78.39267,3,1
11,-0.080750704,0.54645437,0.5538806,7.7933493,3.8096917,59.733765,3,2
12,-1.711096,0.42974797,0.52813476,8.684477,3.8127232,149.84396,4,0
13,0.13411361,0.62325287,0.6293418,7.7147884,3.8222167,47.858078,4,1
14,0.037075818,0.4930774,0.4984574,9.56556,4.6884904,53.221416,4,2
15,-3.9252186,0.26774216,0.38004193,11.112293,4.5568748,272.21988,5,0
16,-0.2987677,0.4894415,0.5030932,9.276379,4.4638577,71.78369,5,1
17,-0.07264018,0.5429057,0.555262,8.934268,4.320368,59.28549,5,2
18,0.11592507,0.56638765,0.568985,9.551847,4.7074356,48.863373,6,0
19,-7.7231464,0.17324471,0.30228254,13.886809,5.2790694,482.13373,6,1
20,-1.250639,0.32981,0.36413467,10.964528,5.0663767,124.39421,6,2
21,0.10400748,0.6132465,0.6409617,8.052133,4.161764,49.522064,7,0
22,0.19215876,0.62045974,0.6217053,7.3278255,3.6118655,44.649887,7,1
23,-1.4116983,0.4059336,0.4735801,8.238133,3.6399677,133.29607,7,2
24,-0.298447,0.46130055,0.46896607,10.023963,4.979724,71.76597,8,0
25,-2.4338388,0.3081756,0.38681233,10.700014,4.6562104,189.7904,8,1
26,-1.2307823,0.4082809,0.46488446,8.796385,3.9910092,123.296715,8,2
27,-0.3206401,0.51327294,0.5498173,9.587771,4.86367,72.9926,9,0
28,-0.1359942,0.51872015,0.5261378,9.278577,4.5529733,62.7871,9,1
29,-1.7068379,0.3695117,0.4402953,8.841237,3.8412287,149.6086,9,2
