FOLD 1 
,actual,predicted,repeat,fold
78,68.51,66.586,0,1
79,68.51,64.53836,0,1
80,68.51,66.57975,0,1
81,68.51,64.54011,0,1
82,68.51,62.210045,0,1
83,68.51,62.35408,0,1
84,68.51,61.11802,0,1
85,68.51,65.3804,0,1
86,68.51,64.03351,0,1
87,51.967,64.298744,0,1
88,51.967,58.460823,0,1
89,51.967,63.91809,0,1
90,51.967,61.32346,0,1
91,51.967,61.759624,0,1
92,51.967,60.361298,0,1
93,51.967,65.40977,0,1
94,51.967,62.433067,0,1
95,51.967,60.932762,0,1
96,51.967,62.609886,0,1
97,51.967,61.219856,0,1
98,51.967,63.601536,0,1
99,51.967,62.44426,0,1
100,51.967,61.34402,0,1

,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.19754899,0.35280308,0.4466814,7.03926,3.4257953,31.406324,0,1

FOLD 3 
,actual,predicted,repeat,fold
0,64.15,62.666786,0,2
1,64.15,65.716484,0,2
2,64.15,64.88515,0,2
3,64.15,64.35989,0,2
4,64.15,59.621216,0,2
5,64.15,65.216,0,2
6,64.15,62.483917,0,2
7,64.15,64.69007,0,2
8,64.15,63.40435,0,2
9,64.15,65.99047,0,2
10,64.15,66.60003,0,2
11,64.15,66.7496,0,2
12,64.15,64.30752,0,2
13,64.15,66.59308,0,2
14,64.15,66.61849,0,2
15,64.15,66.59812,0,2
16,64.15,64.76335,0,2
17,64.15,64.71132,0,2
18,64.15,66.73814,0,2
19,64.15,62.924377,0,2
20,64.15,66.08503,0,2
21,64.15,63.77401,0,2
22,64.15,66.601494,0,2
23,54.516,53.356964,0,2
24,54.516,55.610603,0,2
25,54.516,54.368286,0,2
26,54.516,55.123985,0,2
27,54.516,54.625916,0,2
28,49.297,59.207626,0,2
29,49.297,55.4365,0,2
30,49.297,58.619995,0,2
31,66.54,66.57877,0,2
32,66.54,64.31362,0,2
33,66.54,65.690765,0,2
34,66.54,66.032646,0,2
35,66.54,65.842415,0,2
36,66.54,66.181175,0,2
37,66.54,66.440186,0,2
38,66.54,66.91279,0,2
39,66.54,66.04464,0,2
40,66.54,65.90934,0,2
41,66.54,64.54511,0,2
42,66.54,63.636375,0,2
43,66.54,65.64053,0,2
44,66.54,64.64906,0,2
45,66.54,65.9704,0,2
46,66.54,66.12908,0,2
47,66.54,64.662865,0,2
48,66.54,66.14587,0,2
49,66.54,65.586586,0,2
50,66.54,65.85706,0,2
51,66.54,63.90663,0,2
52,68.51,60.95353,0,2
53,68.51,61.232243,0,2
54,68.51,63.820354,0,2
55,68.51,65.68514,0,2
56,68.51,66.61721,0,2
57,68.51,66.08085,0,2
58,68.51,62.07898,0,2
59,68.51,53.97222,0,2
60,68.51,64.13459,0,2
61,68.51,64.664955,0,2
62,68.51,60.130947,0,2
63,68.51,56.153202,0,2
64,68.51,62.391838,0,2
65,68.51,58.36698,0,2
66,68.51,62.22444,0,2
67,68.51,64.63957,0,2
68,68.51,58.75275,0,2
69,68.51,60.25311,0,2
70,68.51,61.395924,0,2
71,68.51,59.054394,0,2
72,68.51,60.302616,0,2
73,68.51,64.397484,0,2
74,68.51,64.18363,0,2
75,68.51,60.92959,0,2
76,68.51,63.1645,0,2
77,68.51,68.15527,0,2
78,68.51,67.42745,0,2
79,68.51,65.16703,0,2
80,68.51,65.78417,0,2
81,68.51,66.043465,0,2
82,68.51,61.218082,0,2
83,68.51,62.6894,0,2
84,68.51,59.14732,0,2
85,68.51,66.3698,0,2
86,68.51,63.47105,0,2
87,51.967,66.05094,0,2
88,51.967,56.633286,0,2
89,51.967,66.09774,0,2
90,51.967,61.704525,0,2
91,51.967,61.670105,0,2
