epoch,concordance_cc,loss,mape_metric,pearson_cc,r_square,smape_metric,val_concordance_cc,val_loss,val_mape_metric,val_pearson_cc,val_r_square,val_smape_metric
0,-0.0006854207022115588,9547.9501953125,104.13677978515625,0.0009521755273453891,-195.15008544921875,72.56957244873047,0.015585130080580711,2432.654052734375,74.0256118774414,0.06234336644411087,-48.0629997253418,56.71290588378906
1,-0.001520151854492724,7905.1884765625,94.53331756591797,-0.019686471670866013,-161.39735412597656,63.74900436401367,0.013841084204614162,2527.7119140625,76.43641662597656,0.055423978716135025,-49.980979919433594,58.86445236206055
2,-0.001868278020992875,7689.97021484375,95.57981872558594,-0.02134062349796295,-156.9752655029297,63.539337158203125,0.0018771886825561523,3442.6416015625,77.01078033447266,0.010498840361833572,-68.44261169433594,52.78539276123047
3,-0.002223420422524214,4116.35498046875,86.89042663574219,-0.018097033724188805,-83.55055236816406,64.42826080322266,0.015279379673302174,2058.6083984375,70.78858947753906,0.06565731763839722,-40.51461410522461,55.049774169921875
4,0.003575757145881653,3864.829833984375,84.67604064941406,0.017826374620199203,-78.3821792602539,60.75841522216797,0.01639534719288349,2026.20703125,69.22579956054688,0.07268314063549042,-39.86030960083008,52.41893768310547
5,0.0055707949213683605,13303.9755859375,98.25249481201172,0.037317030131816864,-272.3207702636719,60.37535095214844,0.014766615815460682,2147.672607421875,69.1175537109375,0.06253036856651306,-42.31073760986328,50.30747985839844
6,0.005175025202333927,2922.167724609375,78.18927764892578,0.02668819949030876,-59.01288604736328,57.12858200073242,0.008780362084507942,1809.217529296875,67.29225158691406,0.04025993123650551,-35.480587005615234,51.39899444580078
7,0.007754876744002104,3891.3681640625,83.29643249511719,0.0563167929649353,-78.92557525634766,60.123477935791016,0.024871548637747765,2021.8096923828125,70.13606262207031,0.11997335404157639,-39.7695198059082,53.402862548828125
8,0.004060481209307909,3530.46044921875,79.61750030517578,0.013857238925993443,-71.50933837890625,57.73583984375,0.01283768005669117,1802.392333984375,66.88705444335938,0.05747251212596893,-35.341064453125,50.527767181396484
9,0.005955652333796024,2388.264892578125,73.93069458007812,0.01944403164088726,-48.04046630859375,54.385929107666016,0.0004299650900065899,1876.56982421875,65.59124755859375,-0.0027122199535369873,-36.836788177490234,47.374576568603516
