,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
0,-2.2100878826967127,-1.1260280869468755,0.32688255055704546,446.0504972,352.05777624999996,1.0,1.0,1.0,49.199,train,143445.0,50.0
1,-2.1314527577853846,-0.27474695994427434,0.04166209229944081,559.66175985,599.34141415,1.0,1.0,1.0,49.199,train,143445.0,50.0
2,-2.221291528198459,-0.6692270668019735,0.1871972874610886,548.28229515,559.3068935,1.0,1.0,1.0,49.199,train,143445.0,50.0
3,-2.6157688156724874,-1.0054330573511394,-0.30728732922201263,648.1718745000001,878.98519105,1.0,1.0,1.0,49.199,train,143445.0,50.0
4,-2.7189633072229844,-0.37466825913140056,0.42548067166346776,293.30878225000004,341.9857822,1.0,1.0,1.0,49.199,train,143445.0,50.0
5,-2.042782447233164,-0.6141676415623505,0.09179467924225719,424.6091055,467.23930335,1.0,1.0,1.0,49.199,train,143445.0,50.0
6,-0.9517449621745695,-1.149085743481455,-0.6052164231312911,124.9558882,100.43095256,1.0,1.0,1.0,49.199,train,143445.0,50.0
7,-2.4633351604281666,-2.3135086180037807,0.1952619936515002,177.5097521,110.97945816,1.0,1.0,1.0,49.199,train,143445.0,50.0
8,-2.125782634557743,-1.3410593380661804,0.038677197358055804,556.7141315,691.49105125,1.0,1.0,1.0,49.199,train,143445.0,50.0
9,-2.9333256579717717,-1.8624373967563412,-0.49689550193823184,555.179193,644.05469095,1.0,1.0,1.0,49.199,train,143445.0,50.0
10,-1.2149552480803865,1.3995492311890982,0.8962598978508489,668.05473965,753.5611911,1.0,1.0,1.0,49.199,train,143445.0,50.0
11,-2.2589703356949613,-1.2400139151722362,-0.5604069821322898,465.1039909,407.34576985,1.0,1.0,1.0,49.199,train,143445.0,50.0
12,-1.3812121182116077,-0.9237595170265611,-0.9141545864901652,292.09041775000003,292.0011513,1.0,1.0,1.0,49.199,train,143445.0,50.0
13,-2.9103975039399135,-2.1744780044703624,0.12448640638018435,297.16263200000003,257.73153279999997,1.0,1.0,1.0,49.199,train,143445.0,50.0
14,-1.251605665740524,-0.6577124915968121,-0.6262403419620818,475.76719295,570.9531937,1.0,1.0,1.0,49.199,train,143445.0,50.0
15,-1.917548068990794,0.7422367899705605,0.20926364485849552,707.9407334499999,886.3550364,1.0,1.0,1.0,49.199,train,143445.0,50.0
