,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
0,-1.181314925654334,-1.4213325251540678,-0.8895466210254871,375.44507345,386.54669535000005,1.0,1.0,1.0,49.199,train,143445.0,50.0
1,-2.171171724913594,0.4226576930571436,0.24193329426933616,715.27017145,835.83103465,1.0,1.0,1.0,49.199,train,143445.0,50.0
2,-1.8194510800396857,-0.8989262253779498,-0.07654413592527326,405.19245715,549.21019025,1.0,1.0,1.0,49.199,train,143445.0,50.0
3,-2.030931879128219,-1.78129251401267,-0.541523138195362,548.4586466,501.8913139,1.0,1.0,1.0,49.199,train,143445.0,50.0
4,-0.20814885874653707,-1.5580361165091143,-0.7695922688888466,270.01490895,241.12729675000003,1.0,1.0,1.0,49.199,train,143445.0,50.0
5,-2.2161260287853746,-2.977123489965956,-0.6771662460362645,279.9179015,260.81299581,1.0,1.0,1.0,49.199,train,143445.0,50.0
6,-1.9215126164587824,-1.934090193974241,-0.517940675352664,493.1723545,449.80819175,1.0,1.0,1.0,49.199,train,143445.0,50.0
7,-1.9175132450039887,-1.9074528675595426,-0.19013156817152413,388.45863414999997,335.809794,1.0,1.0,1.0,49.199,train,143445.0,50.0
8,-1.2682137462242498,1.3043519498827585,0.9164818228820036,668.05473965,753.5611911,1.0,1.0,1.0,49.199,train,143445.0,50.0
9,-0.42699589160504514,-0.8516109695127975,-0.33646929270949305,376.98001194999995,433.98305565,1.0,1.0,1.0,49.199,train,143445.0,50.0
10,-1.1766066972561287,-0.7375024171158484,-0.653731248400773,475.76719295,570.9531937,1.0,1.0,1.0,49.199,train,143445.0,50.0
11,-0.6713451838362221,-0.01742494766514768,-0.4879773059211465,393.4966333,341.50927064999996,1.0,1.0,1.0,49.199,train,143445.0,50.0
12,-2.265234086568352,0.07506990312390208,-0.1512348441496377,254.77593675,274.84411265,1.0,1.0,1.0,49.199,train,143445.0,50.0
13,-2.763737286242172,-2.0289901952550977,-0.5405230726028706,555.179193,644.05469095,1.0,1.0,1.0,49.199,train,143445.0,50.0
14,-2.383149462785832,-1.246726100622287,-0.2741245167469076,256.1478641,283.84058275,1.0,1.0,1.0,49.199,train,143445.0,50.0
15,-2.9487846517695115,-1.7695541683755738,0.011707785498758618,269.09426840000003,215.2691109,1.0,1.0,1.0,49.199,train,143445.0,50.0
16,-0.6289954397993307,-1.6856357118267054,-0.7903744218341665,200.50590144999998,187.71149856000002,1.0,1.0,1.0,49.199,train,143445.0,50.0
17,-1.2027138864040021,-0.3978760063361225,0.12607227378126198,509.51788745,506.0051377,1.0,1.0,1.0,49.199,train,143445.0,50.0
