epoch,concordance_cc,loss,mape_metric,pearson_cc,r_square,smape_metric
0,-0.020487112924456596,4899.9228515625,89.06887817382812,-0.10053344815969467,-95.260986328125,65.99308776855469
1,-0.027918944135308266,2622.930419921875,76.36698150634766,-0.13773676753044128,-50.51737594604492,56.81098937988281
2,-0.028335662558674812,2224.95654296875,73.5060806274414,-0.13383835554122925,-42.69672393798828,55.20485305786133
3,-0.027652552351355553,2133.24560546875,71.2790298461914,-0.1277807056903839,-40.894004821777344,53.344627380371094
4,-0.023559555411338806,2392.2998046875,73.63516235351562,-0.113869309425354,-45.98365020751953,53.53267288208008
5,-0.02643548883497715,1955.1636962890625,68.96438598632812,-0.11815351992845535,-37.39280700683594,50.685054779052734
6,-0.028882693499326706,1766.1986083984375,65.88349151611328,-0.14833611249923706,-33.678348541259766,48.443904876708984
7,-0.028845977038145065,1789.690673828125,64.98360443115234,-0.13386304676532745,-34.13840103149414,46.321250915527344
8,-0.024254078045487404,1672.7398681640625,63.55328369140625,-0.1179632842540741,-31.83847427368164,44.99679946899414
9,-0.033080559223890305,1841.8685302734375,64.2576904296875,-0.1394539326429367,-35.15973663330078,43.926902770996094
10,-0.029413245618343353,1437.459716796875,58.34130859375,-0.1231369897723198,-27.210458755493164,40.01652145385742
11,-0.024663100019097328,1364.724365234375,55.66558074951172,-0.10109271109104156,-25.778167724609375,37.0246467590332
12,-0.033831287175416946,1353.1185302734375,52.5075798034668,-0.11179931461811066,-25.546960830688477,34.23330307006836
13,-0.046323202550411224,1746.27197265625,53.632083892822266,-0.1571567803621292,-33.26933670043945,33.096248626708984
14,-0.031636908650398254,998.2034301757812,45.146453857421875,-0.10799876600503922,-18.566524505615234,28.73281478881836
15,-0.04453070089221001,849.3745727539062,41.22222900390625,-0.11578018218278885,-15.639110565185547,25.573989868164062
16,-0.05335145816206932,1057.9775390625,42.53985595703125,-0.14531050622463226,-19.735462188720703,26.08051872253418
17,-0.03250020742416382,838.65673828125,38.37348175048828,-0.06443284451961517,-15.42320442199707,22.972763061523438
18,-0.04012655094265938,549.6091918945312,32.017608642578125,-0.08030310273170471,-9.740964889526367,18.78494644165039
19,-0.04549247771501541,604.7984619140625,31.50735092163086,-0.09432705491781235,-10.823322296142578,18.146848678588867
20,-0.008951732888817787,505.78076171875,27.799184799194336,-0.015174781903624535,-8.87620735168457,15.31649112701416
21,-0.04919503629207611,561.2271118164062,27.786903381347656,-0.07780982553958893,-9.964573860168457,15.427453994750977
22,-0.010183543898165226,463.4131164550781,25.496299743652344,-0.013896813616156578,-8.041626930236816,14.000054359436035
23,0.002893418073654175,558.5341186523438,26.52855682373047,0.01801326684653759,-9.910168647766113,14.422016143798828
24,0.045654021203517914,282.69879150390625,20.963346481323242,0.0646698847413063,-4.489109992980957,11.41339111328125
25,0.07522610574960709,294.64495849609375,21.060256958007812,0.1049395501613617,-4.723937034606934,11.251662254333496
26,0.10370203852653503,226.42640686035156,19.0401611328125,0.1445060521364212,-3.3837013244628906,10.125139236450195
27,0.07768409699201584,252.9313507080078,19.93373680114746,0.10912410914897919,-3.9045915603637695,10.646130561828613
28,0.10586331784725189,229.04881286621094,18.966020584106445,0.14075778424739838,-3.435474395751953,10.131155014038086
29,0.1085333526134491,217.99874877929688,18.8741512298584,0.14583510160446167,-3.2184977531433105,10.042551040649414
30,0.12716911733150482,226.33302307128906,18.513940811157227,0.17492865025997162,-3.382570743560791,9.727224349975586
31,0.1491050124168396,196.4237060546875,17.901750564575195,0.19580774009227753,-2.7950124740600586,9.413228988647461
32,0.17594510316848755,157.78466796875,16.280750274658203,0.21052123606204987,-2.036006450653076,8.615898132324219
