epoch,concordance_cc,loss,mape_metric,pearson_cc,r_square,smape_metric,val_concordance_cc,val_loss,val_mape_metric,val_pearson_cc,val_r_square,val_smape_metric
0,-0.014771212823688984,4421.08935546875,91.09288024902344,-0.07409742474555969,-88.99777221679688,65.48237609863281,-0.025722749531269073,1561.8746337890625,60.16103744506836,-0.15798209607601166,-24.12855339050293,45.84572219848633
1,-0.01993330754339695,3212.833251953125,82.53032684326172,-0.13570502400398254,-64.39527893066406,61.6402473449707,-0.060864243656396866,1460.4696044921875,58.133056640625,-0.22393564879894257,-22.495689392089844,40.47565841674805
2,-0.02438243478536606,3399.701171875,83.72439575195312,-0.14316779375076294,-68.19998168945312,60.62202072143555,-0.01716877520084381,1742.4879150390625,65.39028930664062,-0.16718053817749023,-27.03614616394043,51.908206939697266
3,-0.02513251081109047,2731.997802734375,77.68721771240234,-0.11313502490520477,-54.60382843017578,56.45954132080078,-0.03076479770243168,1536.15966796875,60.12217712402344,-0.1920648217201233,-23.713666915893555,45.635684967041016
4,-0.02626519463956356,2575.50830078125,76.78007507324219,-0.15350818634033203,-51.41683578491211,56.733299255371094,-0.044480498880147934,1371.4019775390625,56.0157585144043,-0.1875627636909485,-21.060400009155273,39.82868576049805
5,-0.0212058424949646,2350.47314453125,73.71018981933594,-0.10768239200115204,-46.83393096923828,54.48164749145508,-0.03268485888838768,1366.1416015625,55.6572151184082,-0.16168488562107086,-20.97503662109375,40.40705108642578
6,-0.02557537890970707,2306.7177734375,72.30879211425781,-0.10490366071462631,-45.94207763671875,51.860145568847656,-0.021876709535717964,1440.5609130859375,58.223358154296875,-0.14755599200725555,-22.17245864868164,43.509403228759766
7,-0.014532570727169514,2140.726318359375,68.99726867675781,-0.08165944367647171,-42.561065673828125,49.07571029663086,-0.01960247941315174,1354.0347900390625,55.77461242675781,-0.1217467188835144,-20.778362274169922,40.822265625
8,-0.031497351825237274,1908.4420166015625,66.06865692138672,-0.13372984528541565,-37.830013275146484,45.7672119140625,-0.0123288007453084,1390.48193359375,57.349979400634766,-0.09957751631736755,-21.364086151123047,42.41682815551758
9,-0.029147449880838394,1723.4534912109375,63.46787643432617,-0.12411017715930939,-34.061790466308594,44.6995964050293,-0.023326391354203224,1349.230224609375,56.148929595947266,-0.15913228690624237,-20.69862937927246,41.312744140625
10,-0.02742176689207554,1930.976806640625,64.04216003417969,-0.11605419963598251,-38.28569030761719,43.258426666259766,-0.028608113527297974,1225.611328125,52.58200454711914,-0.14849017560482025,-18.706897735595703,37.262081146240234
11,-0.042388759553432465,1578.24853515625,58.54247283935547,-0.16442157328128815,-31.101680755615234,39.14448928833008,-0.004850439727306366,1311.6854248046875,55.954166412353516,-0.07306496053934097,-20.09128761291504,40.98077392578125
12,-0.03643084317445755,1380.7828369140625,54.28132247924805,-0.1263379156589508,-27.078990936279297,36.29737091064453,-0.01199137419462204,1171.8450927734375,51.85445785522461,-0.0991312637925148,-17.83822250366211,36.97639083862305
13,-0.024444637820124626,1486.125244140625,53.3358039855957,-0.09163461625576019,-29.222023010253906,34.78455352783203,-0.008139804936945438,979.5578002929688,45.27610397338867,-0.055496424436569214,-14.740682601928711,30.834684371948242
14,-0.030353546142578125,1283.57568359375,49.95018005371094,-0.10312826931476593,-25.095897674560547,31.87115478515625,-0.03166137635707855,958.1152954101562,45.244441986083984,-0.166113018989563,-14.39407730102539,31.00571632385254
15,-0.040522780269384384,1319.0877685546875,50.557701110839844,-0.11200207471847534,-25.81727409362793,32.78423309326172,-0.030107716098427773,893.4370727539062,43.632755279541016,-0.1543886810541153,-13.351303100585938,29.48443031311035
