,r2,ccc,pearson,mape,smape,mse,repeat,fold
0,0.8428033,0.9102695,0.9195697,3.9235446,1.9493725,9.525079,0,0
1,0.8168548,0.89610535,0.9050676,4.051104,2.0276752,11.097387,0,1
2,0.8331201,0.90469927,0.9150571,4.023425,1.9850304,10.111817,0,2
3,0.8505099,0.915785,0.92322916,3.6502783,1.815534,9.058111,0,3
4,0.8418421,0.90838146,0.9211888,3.9697626,1.9777138,9.583321,0,4
5,0.82301134,0.89648694,0.9101969,4.105293,2.0496914,10.7243395,0,5
6,0.8361066,0.90645707,0.915773,3.9131157,1.9396832,9.930855,0,6
7,0.82206553,0.89682513,0.90963525,4.162486,2.075741,10.781651,0,7
8,0.82751644,0.9024101,0.91034377,4.0574603,2.0171611,10.451363,0,8
9,0.8342603,0.906573,0.9145401,4.015784,2.005987,10.042729,0,9
