epoch,concordance_cc,loss,mape_metric,pearson_cc,r_square,smape_metric
0,-0.007468114141374826,2578.51708984375,85.71636962890625,-0.3122672736644745,-53.076454162597656,77.31837463378906
1,-0.20319823920726776,576.6016235351562,33.591278076171875,-0.4346677362918854,-11.062361717224121,20.99966812133789
2,-0.32021835446357727,301.164794921875,24.335824966430664,-0.42897486686706543,-5.281424045562744,12.835050582885742
3,-0.32546693086624146,233.53106689453125,21.50709342956543,-0.39941370487213135,-3.862895965576172,11.1303071975708
4,-0.294171541929245,185.6334686279297,19.403244018554688,-0.33760741353034973,-2.8581714630126953,9.894628524780273
5,-0.22500993311405182,151.7432098388672,17.655792236328125,-0.24797841906547546,-2.1471099853515625,8.945535659790039
6,-0.12018804997205734,126.54014587402344,16.09544563293457,-0.13091343641281128,-1.6181654930114746,8.151590347290039
7,-0.022296752780675888,108.8218994140625,14.827981948852539,-0.02402767352759838,-1.2461838722229004,7.521377086639404
8,0.071212537586689,94.65221405029297,13.678852081298828,0.07786080241203308,-0.9486151933670044,6.9457621574401855
9,0.1534731388092041,82.76065063476562,12.662275314331055,0.16612544655799866,-0.6987844705581665,6.431996822357178
10,0.22558985650539398,72.95541381835938,11.728275299072266,0.24433410167694092,-0.4925743341445923,5.943501949310303
11,0.30538061261177063,61.37063980102539,10.707133293151855,0.3290386497974396,-0.2486872673034668,5.41257905960083
12,0.3978239595890045,50.41938018798828,9.700660705566406,0.42794910073280334,-0.01778721809387207,4.881176948547363
13,0.48231688141822815,41.76375198364258,8.789644241333008,0.5193909406661987,0.16512250900268555,4.411293983459473
14,0.5576324462890625,35.188411712646484,7.961612224578857,0.5932368636131287,0.30439889430999756,3.9849495887756348
15,0.6286477446556091,29.586257934570312,7.194714069366455,0.6676463484764099,0.42321527004241943,3.597492218017578
16,0.694007933139801,24.928504943847656,6.515751838684082,0.7272332906723022,0.5220943689346313,3.2564220428466797
17,0.7308657169342041,22.080427169799805,6.11946439743042,0.7631970643997192,0.5828059911727905,3.0539960861206055
18,0.7666826844215393,19.873817443847656,5.7282209396362305,0.7942078113555908,0.6299402713775635,2.8528788089752197
19,0.783841609954834,18.560317993164062,5.488177299499512,0.8093180060386658,0.6581581234931946,2.733883857727051
20,0.8008487224578857,17.440101623535156,5.277435302734375,0.8254303932189941,0.6821889877319336,2.6261894702911377
21,0.8152280449867249,16.544662475585938,5.1344757080078125,0.8358965516090393,0.7013357877731323,2.5476999282836914
22,0.8287327885627747,15.659789085388184,4.932095050811768,0.8489049673080444,0.7201024293899536,2.4479928016662598
23,0.8358240723609924,14.963528633117676,4.80804967880249,0.8556281924247742,0.7348654270172119,2.3869876861572266
24,0.8414547443389893,14.72557258605957,4.678369045257568,0.8589271903038025,0.7399311661720276,2.3213069438934326
25,0.8413870930671692,14.714016914367676,4.650903701782227,0.8602710366249084,0.7401646375656128,2.3039798736572266
26,0.8508443832397461,14.115321159362793,4.541452884674072,0.8670276999473572,0.752738893032074,2.250600576400757
27,0.8545247912406921,13.790650367736816,4.463749885559082,0.8700588941574097,0.7594864368438721,2.2146847248077393
28,0.8503733277320862,14.15661334991455,4.492913722991943,0.8650192618370056,0.751710057258606,2.2237868309020996
29,0.8532700538635254,14.198631286621094,4.5191802978515625,0.8678603768348694,0.7506847381591797,2.2428410053253174
30,0.8556795716285706,13.870384216308594,4.438742637634277,0.8714472055435181,0.7574535608291626,2.202908992767334
31,0.8612775206565857,13.286120414733887,4.349182605743408,0.8754162788391113,0.7695788741111755,2.156750440597534
32,0.8650004267692566,13.096776962280273,4.260398864746094,0.8773295283317566,0.7734010219573975,2.109956741333008
33,0.8602318167686462,13.421947479248047,4.333138942718506,0.8729945421218872,0.766425609588623,2.148913621902466
34,0.867205798625946,13.086311340332031,4.217855453491211,0.8786641955375671,0.7733277082443237,2.088155746459961
35,0.8618357181549072,13.315388679504395,4.25391960144043,0.8761303424835205,0.7683888077735901,2.1058895587921143
36,0.8644796013832092,13.126795768737793,4.196821689605713,0.8761706948280334,0.7721506357192993,2.0784201622009277
37,0.8695955872535706,12.732670783996582,4.191209316253662,0.8820952773094177,0.7802038192749023,2.0760350227355957
38,0.8666249513626099,13.100948333740234,4.184384822845459,0.8796748518943787,0.7723811268806458,2.0773160457611084
39,0.8634485602378845,13.236933708190918,4.195003986358643,0.8764152526855469,0.7693596482276917,2.0790181159973145
40,0.8732187151908875,12.406582832336426,4.0662946701049805,0.8863795399665833,0.7866895794868469,2.014174222946167
41,0.8758280277252197,12.183246612548828,4.0252580642700195,0.8877278566360474,0.7912423014640808,1.995052695274353
42,0.8714181780815125,12.597633361816406,4.120605945587158,0.8836697936058044,0.7823797464370728,2.0413174629211426
43,0.877500057220459,12.058232307434082,4.001346111297607,0.8885290026664734,0.7935299277305603,1.9853918552398682
44,0.8795097470283508,11.9260835647583,3.934488296508789,0.8906814455986023,0.7961750030517578,1.9477442502975464
45,0.8746338486671448,12.282352447509766,3.9833333492279053,0.8852095603942871,0.7885408401489258,1.9721949100494385
46,0.8824538588523865,11.764123916625977,3.9351518154144287,0.8935607075691223,0.799308180809021,1.9513499736785889
47,0.8786619305610657,12.052358627319336,4.027168273925781,0.8899045586585999,0.793062686920166,1.9956529140472412
48,0.873730480670929,12.376506805419922,4.045456409454346,0.8850044012069702,0.7861433029174805,2.006371259689331
49,0.8837353587150574,11.580343246459961,3.91391921043396,0.8943659663200378,0.8026758432388306,1.9392924308776855
50,0.8780472278594971,12.05148983001709,3.948904037475586,0.8888052105903625,0.7926059365272522,1.9572525024414062
