,actual,predicted
32,64.15,59.005787
33,67.515,54.278873
34,50.72,59.05485
35,63.145,48.438133
36,61.596,61.32142
37,52.035,48.996014
38,55.698,60.074543
39,50.1,23.948847
40,49.199,57.00386
41,66.718,61.406994
42,52.035,59.868362
43,52.035,51.688274
44,51.967,31.265493
45,53.068,51.321785
46,65.66,62.999863
47,65.66,64.04267
48,67.32,61.4963
49,66.54,55.127205
50,46.553,36.04083
51,67.32,58.906322
52,52.035,63.254375
53,66.718,60.672405
54,66.54,54.95564
55,64.728,58.39834
56,49.157,53.367958
57,64.15,54.51316
58,66.18,54.58345
59,66.914,64.345436
60,49.157,44.583954
61,68.51,62.72939
62,66.718,58.82206
63,64.15,66.82012
64,68.51,63.86055
65,66.54,58.231354
66,61.596,61.702812
67,51.967,35.640285
68,50.565,67.1497
69,68.5,89.964355
70,61.596,65.411095
71,68.5,63.05609
72,50.72,66.728516
73,50.02,68.92036
74,64.02,54.15851
75,47.991,61.963196
76,49.199,57.39635
77,63.145,41.582157
78,59.879,77.45984
79,50.565,64.20199
80,50.72,59.435295
81,49.157,55.96274
82,49.297,57.64768
83,49.12,69.710594
84,46.553,48.477287
85,47.991,61.612385
86,53.068,51.162796
87,50.565,67.75462
88,52.035,57.189022
89,67.32,53.37078
90,68.51,54.129017
91,47.991,59.782543
92,54.665,62.924946
93,54.665,62.184326
94,67.32,60.83898
95,64.15,61.43866
96,47.991,67.2703
97,56.844,58.9604
98,66.18,59.048847
99,62.028,44.38469
100,54.665,59.464573
101,66.718,62.186787
102,51.967,32.530415
103,51.967,26.435507
104,49.117,61.618477
105,46.553,44.61887
106,47.991,64.60986
107,66.914,61.99698
108,68.51,59.106014
109,50.363,23.66603
110,59.879,83.14294
111,49.199,56.477528
112,61.596,66.72352
113,64.15,57.000416
114,62.028,46.814915
115,63.145,43.052326
116,47.963,42.235363
117,49.965,48.21474
118,49.12,58.368587
119,67.32,55.602917
120,67.32,61.25534
121,51.967,36.937603
122,49.199,70.0603
123,59.879,63.229362
124,67.32,59.970894
125,55.698,57.16678
126,50.72,69.364204
127,50.72,49.856464
128,49.965,39.727165
0,64.15,64.55848
1,66.54,62.24555
2,64.15,62.535316
3,64.15,61.79471
4,54.665,60.784008
5,47.963,41.471554
6,53.068,60.57942
7,54.665,61.530495
8,66.18,60.477783
9,56.844,54.79412
10,65.66,65.162544
11,63.145,40.58904
12,64.02,71.67562
13,54.665,62.110554
14,49.12,66.02789
15,49.117,58.198956
16,67.32,64.65003
17,49.199,62.56603
18,66.914,71.38635
19,52.035,53.72051
20,68.51,54.42098
21,49.179,45.804035
22,61.596,58.924973
23,50.363,60.98993
24,50.02,66.73751
25,50.1,43.25827
26,68.5,53.167885
27,61.596,61.866245
28,56.844,50.155468
29,50.1,26.268064
30,63.145,46.579174
31,50.1,36.873474
32,64.15,61.981922
33,67.515,54.39583
34,50.72,60.822823
