,PC1,PC2,PC3,oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id
0,-2.1005410963636497,0.379875133514522,-0.3372191844220678,1.0,1.0,1.0,49.199,train,143445.0
1,-2.366888092750102,0.32688292174035777,-0.3305589549491084,1.0,1.0,1.0,49.199,train,143445.0
2,-3.251552116001512,-0.014142499799078412,-0.1904205358114345,1.0,1.0,1.0,49.199,train,143445.0
3,-2.9286995163178964,-1.957652636948006,-0.05505885548418299,1.0,1.0,1.0,49.199,train,143445.0
4,-1.937836607299294,0.7885341612399135,-0.2677149904724635,1.0,1.0,1.0,49.199,train,143445.0
5,-2.7765623158508386,-0.543647166544237,-0.20969233861490258,1.0,1.0,1.0,49.199,train,143445.0
6,-1.1815940247430654,-0.09323373576779684,-0.1887549789819416,1.0,1.0,1.0,49.199,train,143445.0
7,-0.38949786222940047,-0.45427911635993146,-0.03127150979854712,1.0,1.0,1.0,49.199,train,143445.0
8,-3.1392364796894485,-1.9804052439883708,-0.1922832871320447,1.0,1.0,1.0,49.199,train,143445.0
9,-1.7087083534349041,0.5391344716481679,-0.43652203625248415,1.0,1.0,1.0,49.199,train,143445.0
10,-1.1812595722550092,0.2772527109449933,-0.10963152707202002,1.0,1.0,1.0,49.199,train,143445.0
11,-1.8836167903297736,-0.7527512431596655,0.04797400835444679,1.0,1.0,1.0,49.199,train,143445.0
12,-1.3087793863380415,-0.351656693790402,-0.258859167148595,1.0,1.0,1.0,49.199,train,143445.0
13,-2.0546469512062937,-0.602251203166529,-0.012230252267882886,1.0,1.0,1.0,49.199,train,143445.0
14,-2.6317055426971727,-1.5078636858877001,-0.41584839890012865,1.0,1.0,1.0,49.199,train,143445.0
15,-1.9426087796820268,-0.7688160765725865,-0.03342035151480923,1.0,1.0,1.0,49.199,train,143445.0
16,-3.0740174832075997,-2.2604712701768017,0.06134121943501282,1.0,1.0,1.0,49.199,train,143445.0
17,-1.6232604597706723,-1.1684853320870927,-0.13979200888542642,1.0,1.0,1.0,49.199,train,143445.0
18,-2.117758598597165,-2.1501740700333256,0.0075880849134803245,1.0,1.0,1.0,49.199,train,143445.0
19,-2.739250502860988,0.039758902881559186,-0.41190967857656147,1.0,1.0,1.0,49.199,train,143445.0
20,-1.2139406170300187,-0.6421863067170629,0.002627524436934324,1.0,1.0,1.0,49.199,train,143445.0
21,-2.934665577939635,-1.6028287909185812,-0.015942858228986397,1.0,1.0,1.0,49.199,train,143445.0
22,-2.32743829037821,1.2880951466668922,-0.5961393019552993,1.0,0.0,1.0,49.157,train,178155.0
23,-2.4756162295486024,-0.6913564158895055,-0.17407549901334696,1.0,0.0,1.0,49.157,train,178155.0
24,-2.7087604724894074,-0.5413329871195554,-0.32953872197952383,1.0,0.0,1.0,49.157,train,178155.0
25,-1.0387102722328765,0.4048000245018167,0.5544173197415178,1.0,0.0,1.0,49.157,train,178155.0
26,-3.417816570825159,-0.05507050984258391,0.6137898408953628,1.0,0.0,1.0,49.157,train,178155.0
27,-2.058235864555624,1.465278810338299,-0.0883965931775967,1.0,0.0,1.0,49.157,train,178155.0
28,-1.343845259748487,3.6937632136930056,-0.8288937336822635,1.0,0.0,1.0,49.157,train,178155.0
29,-1.3083072941632268,0.693187224556878,-0.2324347423424373,1.0,0.0,1.0,49.157,train,178155.0
30,-2.5559655627097815,1.959838152559034,0.03210077630848771,1.0,0.0,1.0,49.157,train,178155.0
31,-1.9974520745115147,1.5992896279252793,-0.8901245993153513,1.0,0.0,1.0,49.157,train,178155.0
32,-2.049972269938921,-2.74380730271225,-0.2638550336439644,1.0,0.0,1.0,49.157,train,178155.0
33,-2.620027182648518,-0.6696208374321398,-0.8511150430790061,1.0,0.0,1.0,49.157,train,178155.0
34,-3.0088201625118907,-0.4213420017507345,1.0148687925087612,1.0,0.0,1.0,49.157,train,178155.0
35,-2.299684205637989,1.031955380118821,0.2546737314819164,1.0,0.0,1.0,49.157,train,178155.0
36,-2.2197294685845734,-1.1536683246032506,-0.2306118971461708,1.0,0.0,1.0,49.157,train,178155.0
37,-1.263495926587308,1.0425686452444674,-1.035070009004098,1.0,0.0,1.0,49.157,train,178155.0
38,-2.4161715802190997,1.4163829969794772,-0.07456298085581659,1.0,0.0,1.0,49.157,train,178155.0
39,-3.0165828956853518,1.2089125429328498,-0.6693460208550421,1.0,0.0,1.0,49.157,train,178155.0
40,-2.667031136701587,-1.265098361844283,-0.3677795873991727,1.0,0.0,1.0,49.157,train,178155.0
41,-2.300078801745752,1.4975262438452888,-0.024435621824336357,1.0,0.0,1.0,49.157,train,178155.0
42,-2.825167988532368,1.7826544888876272,-0.47564193246921455,1.0,0.0,1.0,49.157,train,178155.0
43,-1.9341448887545147,1.0998453181178012,-0.8845517416994227,1.0,0.0,1.0,49.157,train,178155.0
44,-3.3559719794113207,-2.432831598684635,-0.06570698806544742,1.0,0.0,0.0,49.297,train,178187.0
45,-3.425708815579228,-2.132253185048797,-0.2569988686818744,1.0,0.0,0.0,49.297,train,178187.0
46,-3.455765383475603,-1.0513171531285956,-0.4536082852483913,1.0,0.0,0.0,49.297,train,178187.0
47,-3.7397801742095353,-2.050491901602427,-0.4920371356486976,1.0,0.0,0.0,49.965,train,185922.0
48,-3.2910512009798945,1.9969354657943117,-1.9779128669560917,1.0,0.0,0.0,49.965,train,185922.0
49,-2.103523062654982,4.86058529178738,-1.858457804626321,1.0,0.0,0.0,49.965,train,185922.0
50,-3.2041026172419707,1.2463013751389003,-1.1597095736987753,1.0,0.0,0.0,49.965,train,185922.0
51,-1.0599165540416802,-1.7657186820344413,-0.20854484802080367,1.0,0.0,0.0,49.965,train,185922.0
52,-2.43935293196304,-0.9472915865013041,-0.609291085808087,1.0,0.0,0.0,49.965,train,185922.0
53,-2.9704864149362478,-0.5267688740439146,-0.6009645992404327,1.0,0.0,0.0,49.965,train,185922.0
54,-1.3905983297856546,1.894347103302413,-1.004758333040968,1.0,0.0,0.0,49.965,train,185922.0
55,-3.193985627541643,0.10993992964027231,-1.7404443563942698,1.0,0.0,0.0,49.965,train,185922.0
56,-3.305712264674578,-0.5840190779057778,-0.7378321327781735,1.0,0.0,0.0,49.965,train,185922.0
57,-2.5219802296847065,1.8470531523183156,-1.6291708892571521,1.0,0.0,0.0,49.965,train,185922.0
58,-0.7112954147919474,2.4615005157854766,-1.1659062864944456,1.0,0.0,0.0,49.965,train,185922.0
59,-2.4521442019047153,0.6333660939674642,-0.9010963661526805,1.0,0.0,0.0,49.965,train,185922.0
60,-3.7369607016459763,-2.0168935369060743,-0.8003504977535983,1.0,0.0,0.0,49.965,train,185922.0
61,-2.090731792713307,3.279927611318612,-1.5666525242817277,1.0,0.0,0.0,49.965,train,185922.0
62,-3.7196253577099467,0.1197647718238731,-1.1678911688914266,1.0,0.0,0.0,49.965,train,185922.0
63,-3.2883769207385467,1.5526392308241703,-1.1053728039160036,1.0,0.0,0.0,49.965,train,185922.0
64,-2.7700347077070147,2.7127741988355485,-1.4055045708282499,1.0,0.0,0.0,49.965,train,185922.0
65,-3.1884918747367377,-0.30075794063351624,-1.1762176554590809,1.0,0.0,0.0,49.965,train,185922.0
66,-2.7727089879483624,3.157070433805689,-2.278044633868338,1.0,0.0,0.0,49.965,train,185922.0
67,-1.3778070598439789,0.31368942283364404,-0.7129530526963743,1.0,0.0,0.0,49.965,train,185922.0
68,-1.8118749693789364,-1.1527834008630053,-0.46715805556689827,1.0,0.0,0.0,49.965,train,185922.0
69,-3.2207372855060443,0.5707164398054807,-0.044960172091097976,0.0,0.0,1.0,49.179,train,189223.0
70,-3.710069218433325,0.6627864324781775,1.3215645331724233,0.0,0.0,1.0,49.179,train,189223.0
71,-3.6115943011760656,-1.9124618842025025,-0.2045810914610156,0.0,0.0,1.0,49.179,train,189223.0
72,-3.122176522543869,0.8936864952226451,0.4229013753101285,0.0,0.0,1.0,49.179,train,189223.0
73,-4.001681142174767,-1.901921408536801,1.8203020262271479,0.0,0.0,1.0,49.179,train,189223.0
74,-4.1987578526185185,-1.6765078562948796,1.922999113865601,0.0,0.0,1.0,49.179,train,189223.0
75,-4.100241905136943,-2.2248914639539676,1.3524404788259214,0.0,0.0,1.0,49.179,train,189223.0
76,-3.6575456353354294,-1.8313946409578195,-0.18287435878954444,0.0,0.0,1.0,49.179,train,189223.0
77,-3.709425919691236,-1.7685778489675759,0.5564744086020798,0.0,0.0,1.0,49.179,train,189223.0
78,-3.0633101204753435,2.1110229212561866,-0.1450875523275478,0.0,0.0,1.0,49.179,train,189223.0
79,-3.6582299643018343,-1.4268950685336563,-0.37337122381296317,0.0,0.0,1.0,49.179,train,189223.0
80,-3.5123492092474855,-1.9939914012094992,0.4537773209636264,0.0,0.0,1.0,49.179,train,189223.0
