epoch,concordance_cc,loss,mape_metric,pearson_cc,r_square,smape_metric,val_concordance_cc,val_loss,val_mape_metric,val_pearson_cc,val_r_square,val_smape_metric
0,-0.004552064463496208,2727.249267578125,88.57508087158203,-0.31406229734420776,-54.453033447265625,81.09546661376953,-0.0120618287473917,1557.627685546875,65.55013275146484,-0.22979655861854553,-36.06351089477539,49.98093795776367
1,-0.14272694289684296,747.0135498046875,38.62807083129883,-0.38169336318969727,-14.16262149810791,25.787803649902344,-0.24267998337745667,264.61614990234375,22.194772720336914,-0.32301774621009827,-5.259274482727051,11.656085014343262
2,-0.3304477334022522,322.1199951171875,25.23142433166504,-0.44488608837127686,-5.516462326049805,13.264564514160156,-0.21717819571495056,207.230224609375,19.747554779052734,-0.26862242817878723,-3.8933701515197754,10.100099563598633
3,-0.3227204978466034,249.18699645996094,22.208484649658203,-0.3980071246623993,-4.033497333526611,11.445510864257812,-0.15335549414157867,164.37060546875,17.584796905517578,-0.18015208840370178,-2.8730812072753906,8.85712718963623
4,-0.2619931697845459,191.1273193359375,19.641761779785156,-0.3024253845214844,-2.852717399597168,9.966217994689941,-0.05153895542025566,134.71945190429688,15.849291801452637,-0.061484355479478836,-2.167147397994995,7.977012634277344
5,-0.1563594937324524,150.41709899902344,17.4418888092041,-0.17299580574035645,-2.0246498584747314,8.801544189453125,0.05711378902196884,115.49459075927734,14.590128898620605,0.05886738374829292,-1.709273099899292,7.358198642730713
6,-0.02805374003946781,121.7719497680664,15.7018404006958,-0.02960026264190674,-1.4418880939483643,7.922311782836914,0.14725203812122345,102.37687683105469,13.609463691711426,0.15663525462150574,-1.396714210510254,6.900745391845703
7,0.0904315933585167,102.10944366455078,14.223706245422363,0.09671542793512344,-1.0417485237121582,7.1954827308654785,0.21873998641967773,92.28125,12.822847366333008,0.23374220728874207,-1.1561124324798584,6.552394866943359
8,0.1828993707895279,88.29631042480469,13.164587020874023,0.19264210760593414,-0.7605540752410889,6.675679683685303,0.28068917989730835,83.20814514160156,12.096131324768066,0.29864436388015747,-0.9397133588790894,6.193260192871094
9,0.2584221661090851,77.57060241699219,12.189957618713379,0.2703971564769745,-0.5420798063278198,6.189288139343262,0.33778491616249084,73.995849609375,11.197476387023926,0.3573838472366333,-0.7199373245239258,5.7443389892578125
10,0.3305880129337311,67.69859313964844,11.27344799041748,0.3439224064350128,-0.3408842086791992,5.716724872589111,0.3886483311653137,65.55525970458984,10.435391426086426,0.40825265645980835,-0.5184590816497803,5.346092700958252
11,0.3927792012691498,59.138519287109375,10.46480941772461,0.4064389169216156,-0.16632580757141113,5.302019119262695,0.4354144036769867,57.82609176635742,9.770565032958984,0.4537213444709778,-0.33383142948150635,4.98732852935791
12,0.4505048394203186,51.89051818847656,9.709775924682617,0.4653986692428589,-0.0183793306350708,4.906618118286133,0.48089200258255005,50.64718246459961,9.120814323425293,0.4980476498603821,-0.16220569610595703,4.641801834106445
13,0.5005386471748352,46.13054656982422,9.106584548950195,0.5163083076477051,0.09940510988235474,4.594508171081543,0.5272265076637268,44.56214904785156,8.481789588928223,0.5432065725326538,-0.0165022611618042,4.302863121032715
14,0.5516869425773621,40.32258224487305,8.465964317321777,0.5689369440078735,0.21830570697784424,4.260391712188721,0.5702191591262817,39.01873779296875,7.8669939041137695,0.5851319432258606,0.11646074056625366,3.9824020862579346
15,0.6029958724975586,35.368900299072266,7.786623001098633,0.6203769445419312,0.3198871612548828,3.911670684814453,0.6104956865310669,34.29319381713867,7.340917110443115,0.6249333620071411,0.22990798950195312,3.7124531269073486
16,0.6426882147789001,31.382869720458984,7.3366379737854,0.6627216935157776,0.4017527103424072,3.67952299118042,0.6475492715835571,30.346187591552734,6.834625244140625,0.6613307595252991,0.32481878995895386,3.4509596824645996
17,0.6810859441757202,28.079627990722656,6.800731182098389,0.700771689414978,0.46970707178115845,3.406797170639038,0.6811476945877075,27.01555824279785,6.373871326446533,0.6943522691726685,0.40496259927749634,3.2135231494903564
18,0.7094793915748596,25.756603240966797,6.473709583282471,0.7303197979927063,0.5176450610160828,3.2362494468688965,0.7085871696472168,24.44179344177246,5.991686820983887,0.7219201326370239,0.4669821858406067,3.0182278156280518
19,0.7473540306091309,22.599567413330078,5.9735188484191895,0.7679519653320312,0.5824110507965088,2.9872334003448486,0.7335077524185181,22.047508239746094,5.60368537902832,0.7478986978530884,0.5245984792709351,2.8199400901794434
20,0.7624155879020691,21.153162002563477,5.783073425292969,0.7835969924926758,0.6123530864715576,2.888237237930298,0.7539160847663879,20.36587142944336,5.325240135192871,0.7667550444602966,0.5652600526809692,2.6702094078063965
21,0.7786311507225037,20.02203941345215,5.520491600036621,0.7986783981323242,0.6358382701873779,2.755678653717041,0.7716094255447388,18.921039581298828,5.1437177658081055,0.7845802307128906,0.6001662015914917,2.570608377456665
22,0.798642635345459,18.490692138671875,5.319274425506592,0.8187121748924255,0.6673927903175354,2.6497929096221924,0.7850781083106995,17.638996124267578,4.9261298179626465,0.7989848852157593,0.6310983896255493,2.4645941257476807
23,0.8057186603546143,17.893604278564453,5.259357929229736,0.8249026536941528,0.6798334121704102,2.6212244033813477,0.7968540787696838,16.814546585083008,4.794283866882324,0.8117777109146118,0.6510187387466431,2.4004881381988525
24,0.8140136003494263,17.360761642456055,5.051645278930664,0.832128643989563,0.6909083127975464,2.5135817527770996,0.8099982142448425,15.952674865722656,4.640763282775879,0.8218822479248047,0.6717789173126221,2.3158206939697266
