True_Label,Predicted_Label,Class_Probabilities
3,3,"[np.float32(0.00032535614), np.float32(0.0012780832), np.float32(0.34001723), np.float32(0.6571475), np.float32(0.0012317726)]"
3,3,"[np.float32(4.0709883e-06), np.float32(0.00028704212), np.float32(0.00054148166), np.float32(0.9991547), np.float32(1.2692822e-05)]"
2,3,"[np.float32(2.7972632e-05), np.float32(6.3481864e-05), np.float32(0.020398462), np.float32(0.9794531), np.float32(5.692117e-05)]"
2,2,"[np.float32(7.9836377e-07), np.float32(9.5174573e-07), np.float32(0.99998987), np.float32(7.99501e-06), np.float32(4.1119023e-07)]"
2,3,"[np.float32(0.00012216179), np.float32(0.00063883123), np.float32(0.17306127), np.float32(0.82590175), np.float32(0.00027595193)]"
2,2,"[np.float32(0.007405725), np.float32(0.2000984), np.float32(0.5004276), np.float32(0.2852986), np.float32(0.006769706)]"
2,2,"[np.float32(0.00032115102), np.float32(7.3713716e-05), np.float32(0.82767284), np.float32(0.17169975), np.float32(0.00023250896)]"
2,1,"[np.float32(0.0002283494), np.float32(0.9481999), np.float32(0.008111106), np.float32(0.04307929), np.float32(0.0003813838)]"
3,3,"[np.float32(1.3890898e-06), np.float32(3.4317324e-07), np.float32(6.413785e-07), np.float32(0.9999975), np.float32(1.0972986e-07)]"
2,2,"[np.float32(7.276323e-05), np.float32(5.2362575e-05), np.float32(0.9702195), np.float32(0.029647678), np.float32(7.676029e-06)]"
4,4,"[np.float32(3.5728277e-07), np.float32(1.755756e-07), np.float32(2.5819327e-06), np.float32(8.401709e-05), np.float32(0.99991286)]"
1,1,"[np.float32(1.5735613e-07), np.float32(0.99997294), np.float32(2.5073288e-05), np.float32(1.5432709e-06), np.float32(3.3565271e-07)]"
3,3,"[np.float32(0.00015771028), np.float32(0.0035700921), np.float32(0.0012472663), np.float32(0.97248435), np.float32(0.022540594)]"
2,2,"[np.float32(9.244803e-05), np.float32(0.0021708019), np.float32(0.9975961), np.float32(0.00010348082), np.float32(3.72773e-05)]"
3,3,"[np.float32(9.684064e-07), np.float32(4.1191965e-06), np.float32(1.9766563e-05), np.float32(0.99996984), np.float32(5.4098846e-06)]"
3,2,"[np.float32(0.0002578689), np.float32(0.0005215234), np.float32(0.89406896), np.float32(0.10510431), np.float32(4.7348294e-05)]"
2,2,"[np.float32(2.9382558e-05), np.float32(0.0017176886), np.float32(0.9981142), np.float32(0.00011958627), np.float32(1.9123021e-05)]"
1,1,"[np.float32(1.2090928e-05), np.float32(0.995433), np.float32(0.0044809007), np.float32(7.119963e-05), np.float32(2.8128002e-06)]"
2,2,"[np.float32(2.4858407e-06), np.float32(2.662473e-06), np.float32(0.9998349), np.float32(0.00015881775), np.float32(1.2401656e-06)]"
3,3,"[np.float32(5.72565e-08), np.float32(1.1586156e-07), np.float32(7.882055e-06), np.float32(0.99999166), np.float32(2.540922e-07)]"
2,2,"[np.float32(3.2224975e-06), np.float32(0.0006729572), np.float32(0.9992482), np.float32(1.4378905e-05), np.float32(6.1204104e-05)]"
3,3,"[np.float32(9.220749e-06), np.float32(1.3332325e-05), np.float32(8.9339504e-05), np.float32(0.9998807), np.float32(7.3658925e-06)]"
3,3,"[np.float32(5.7978545e-05), np.float32(0.0006875785), np.float32(0.027495138), np.float32(0.97170275), np.float32(5.6578247e-05)]"
3,3,"[np.float32(0.00010607719), np.float32(0.006756101), np.float32(0.003671486), np.float32(0.98936605), np.float32(0.00010024421)]"
3,3,"[np.float32(0.0010865335), np.float32(0.0071902047), np.float32(0.011923523), np.float32(0.9797356), np.float32(6.408482e-05)]"
3,3,"[np.float32(1.2292791e-05), np.float32(1.0518814e-05), np.float32(0.00018886066), np.float32(0.9997769), np.float32(1.14851855e-05)]"
3,3,"[np.float32(7.9786776e-05), np.float32(8.1765924e-05), np.float32(0.24815218), np.float32(0.7515517), np.float32(0.00013458416)]"
3,3,"[np.float32(0.00023955239), np.float32(0.021906188), np.float32(0.41515866), np.float32(0.5623365), np.float32(0.00035905867)]"
2,2,"[np.float32(5.9120856e-07), np.float32(3.691123e-06), np.float32(0.9999913), np.float32(3.954329e-06), np.float32(4.5526087e-07)]"
3,3,"[np.float32(1.5693594e-09), np.float32(9.469482e-10), np.float32(6.681017e-09), np.float32(1.0), np.float32(1.2003769e-09)]"
3,3,"[np.float32(0.0010990079), np.float32(0.00017826712), np.float32(0.0068571526), np.float32(0.9836119), np.float32(0.008253769)]"
2,2,"[np.float32(5.4124126e-07), np.float32(1.6942615e-06), np.float32(0.999995), np.float32(2.2846625e-06), np.float32(5.29825e-07)]"
2,2,"[np.float32(1.9844786e-06), np.float32(1.4224346e-05), np.float32(0.99990404), np.float32(7.7571145e-05), np.float32(2.130217e-06)]"
2,2,"[np.float32(2.5626912e-07), np.float32(1.1033025e-06), np.float32(0.99999285), np.float32(3.316459e-06), np.float32(2.4949384e-06)]"
2,2,"[np.float32(0.0001051608), np.float32(7.353158e-05), np.float32(0.9803561), np.float32(0.0053069335), np.float32(0.014158316)]"
2,1,"[np.float32(0.0009815135), np.float32(0.85420835), np.float32(0.030530462), np.float32(0.10592953), np.float32(0.008350125)]"
3,3,"[np.float32(0.0002799415), np.float32(0.0001792644), np.float32(0.2187056), np.float32(0.7789525), np.float32(0.0018826674)]"
2,2,"[np.float32(0.0008858562), np.float32(0.0024449562), np.float32(0.99412704), np.float32(0.001990901), np.float32(0.00055114855)]"
2,2,"[np.float32(6.5173117e-06), np.float32(1.31736715e-05), np.float32(0.99979883), np.float32(0.00017895433), np.float32(2.5666268e-06)]"
2,2,"[np.float32(5.776657e-06), np.float32(4.691326e-06), np.float32(0.9998171), np.float32(1.4337861e-05), np.float32(0.00015813677)]"
1,1,"[np.float32(6.882995e-07), np.float32(0.99998593), np.float32(5.382045e-06), np.float32(2.2204385e-06), np.float32(5.6832e-06)]"
1,1,"[np.float32(1.0082665e-07), np.float32(0.9999887), np.float32(1.11874215e-05), np.float32(1.718517e-08), np.float32(2.9263477e-08)]"
2,2,"[np.float32(9.5073534e-07), np.float32(3.0401457e-06), np.float32(0.9999882), np.float32(6.84519e-06), np.float32(1.0999648e-06)]"
3,3,"[np.float32(1.6229958e-05), np.float32(8.070013e-06), np.float32(0.0014811322), np.float32(0.9984681), np.float32(2.6376605e-05)]"
3,3,"[np.float32(7.704866e-05), np.float32(3.5810917e-06), np.float32(2.2876065e-05), np.float32(0.9998958), np.float32(7.3954857e-07)]"
2,2,"[np.float32(0.001870914), np.float32(0.02092405), np.float32(0.9739904), np.float32(0.0025591562), np.float32(0.0006555008)]"
3,3,"[np.float32(1.7786535e-07), np.float32(1.0466756e-06), np.float32(7.664921e-05), np.float32(0.99992204), np.float32(1.5052312e-07)]"
1,1,"[np.float32(5.831917e-06), np.float32(0.9999515), np.float32(2.5913809e-05), np.float32(6.517362e-06), np.float32(1.0241328e-05)]"
1,1,"[np.float32(3.3509426e-05), np.float32(0.8882904), np.float32(0.111617625), np.float32(2.2510447e-05), np.float32(3.5920202e-05)]"
2,2,"[np.float32(0.0005138892), np.float32(0.0010173599), np.float32(0.99727196), np.float32(0.0007089337), np.float32(0.0004878777)]"
1,1,"[np.float32(0.00031054483), np.float32(0.99272376), np.float32(0.0061113434), np.float32(0.0006952428), np.float32(0.00015912164)]"
3,1,"[np.float32(0.008962589), np.float32(0.54263246), np.float32(0.3004768), np.float32(0.14699408), np.float32(0.00093400467)]"
2,2,"[np.float32(3.1839184e-06), np.float32(5.9730414e-06), np.float32(0.9993376), np.float32(0.00064093154), np.float32(1.2265543e-05)]"
2,2,"[np.float32(0.0009917495), np.float32(0.0003660564), np.float32(0.97444236), np.float32(0.023801904), np.float32(0.0003977994)]"
2,2,"[np.float32(0.00029884625), np.float32(0.0014671659), np.float32(0.98717785), np.float32(0.008355783), np.float32(0.0027002497)]"
3,1,"[np.float32(0.00021883003), np.float32(0.89996123), np.float32(0.004084813), np.float32(0.09563508), np.float32(9.9964935e-05)]"
2,2,"[np.float32(1.4336373e-06), np.float32(4.3134914e-06), np.float32(0.9999912), np.float32(1.1885531e-06), np.float32(1.901771e-06)]"
2,3,"[np.float32(0.00013906341), np.float32(0.00073756033), np.float32(0.3853318), np.float32(0.61364067), np.float32(0.00015088859)]"
3,3,"[np.float32(9.166548e-05), np.float32(0.00012829732), np.float32(0.010230272), np.float32(0.9884199), np.float32(0.0011299057)]"
3,3,"[np.float32(4.347358e-06), np.float32(8.386147e-06), np.float32(0.0023046134), np.float32(0.99765587), np.float32(2.673645e-05)]"
2,2,"[np.float32(1.7612247e-06), np.float32(1.5025145e-05), np.float32(0.99991226), np.float32(5.757563e-05), np.float32(1.3319617e-05)]"
3,2,"[np.float32(0.0010078849), np.float32(0.00070688775), np.float32(0.65028), np.float32(0.33532318), np.float32(0.012682027)]"
2,2,"[np.float32(0.00019842858), np.float32(0.0007184404), np.float32(0.9959269), np.float32(0.0030816295), np.float32(7.458543e-05)]"
3,3,"[np.float32(7.392862e-07), np.float32(2.168035e-06), np.float32(2.5812122e-07), np.float32(0.9999958), np.float32(9.975334e-07)]"
2,2,"[np.float32(3.3260218e-07), np.float32(2.0663599e-07), np.float32(0.99999833), np.float32(7.3337037e-07), np.float32(4.0843017e-07)]"
3,3,"[np.float32(4.323107e-06), np.float32(1.9567682e-05), np.float32(0.00056009984), np.float32(0.9992047), np.float32(0.00021135213)]"
3,3,"[np.float32(1.4030611e-07), np.float32(1.88498e-06), np.float32(6.7880287e-06), np.float32(0.99999106), np.float32(6.6293616e-08)]"
1,1,"[np.float32(8.8519355e-06), np.float32(0.9999331), np.float32(3.9690654e-05), np.float32(5.682943e-06), np.float32(1.2591723e-05)]"
2,2,"[np.float32(4.463072e-08), np.float32(1.2203321e-07), np.float32(0.9999994), np.float32(4.0703577e-07), np.float32(6.653955e-08)]"
2,2,"[np.float32(0.00023842983), np.float32(0.0012520368), np.float32(0.9040184), np.float32(0.093851656), np.float32(0.0006395555)]"
2,2,"[np.float32(3.5367e-07), np.float32(4.9572664e-06), np.float32(0.9999721), np.float32(2.2138543e-05), np.float32(3.8745674e-07)]"
1,1,"[np.float32(4.3587707e-07), np.float32(0.9999989), np.float32(5.307566e-07), np.float32(2.2655039e-08), np.float32(9.2927216e-08)]"
3,3,"[np.float32(7.835729e-09), np.float32(3.1672922e-09), np.float32(1.6450459e-08), np.float32(1.0), np.float32(3.059977e-09)]"
2,2,"[np.float32(0.00083379925), np.float32(0.005786574), np.float32(0.98289144), np.float32(0.010406323), np.float32(8.188216e-05)]"
3,3,"[np.float32(0.0002304336), np.float32(0.0016754483), np.float32(0.0042995764), np.float32(0.99366635), np.float32(0.00012816452)]"
2,2,"[np.float32(0.00024866287), np.float32(0.0052000564), np.float32(0.9938613), np.float32(0.0005694138), np.float32(0.00012057922)]"
4,2,"[np.float32(0.00082059717), np.float32(0.00028589353), np.float32(0.99075234), np.float32(0.0012850591), np.float32(0.006856156)]"
3,3,"[np.float32(0.0003856874), np.float32(0.0013193368), np.float32(0.14816211), np.float32(0.8500277), np.float32(0.00010518475)]"
