,"('PC1',)","('PC2',)","('PC3',)","('U238_ppm',)","('Th232_ppm',)",oscillatory_zonation,sector_zonation,homogenous_zonation,SiO2_pct,Dataset,GSWA_sample_id,bin
0,-0.948233544747857,-1.533654533457067,-0.7353848960207409,200.50590144999998,187.71149856000002,1.0,1.0,1.0,49.199,train,143445.0,50.0
1,-2.530422107727317,-1.543000890300632,0.4304183123484158,305.37452344999997,289.17055645,1.0,1.0,1.0,49.199,train,143445.0,50.0
2,-2.151900074395922,-2.070063715570709,0.22946552079248647,296.39199955,341.003033,1.0,1.0,1.0,49.199,train,143445.0,50.0
3,-1.5546529049035378,-2.2424393574400963,-0.3027983975400087,302.35250835,293.5846955,1.0,1.0,1.0,49.199,train,143445.0,50.0
4,-2.0124785454213048,-0.7576207370721458,0.31105404125275415,295.02007219999996,332.0065629,1.0,1.0,1.0,49.199,train,143445.0,50.0
5,-2.151842181057413,0.08518474946485927,-0.1445282862618294,665.5145891,899.6982085,1.0,1.0,1.0,49.199,train,143445.0,50.0
6,-2.903830861251935,-1.6109265783015296,-0.1809117833964624,474.77247220000004,555.2080868,1.0,1.0,1.0,49.199,train,143445.0,50.0
7,-2.282020394008304,-0.22957332156238508,0.09429718453965694,559.66175985,599.34141415,1.0,1.0,1.0,49.199,train,143445.0,50.0
8,-2.450147419178293,0.9163673528673394,0.7486094404127496,614.7717005,708.8401159,1.0,1.0,1.0,49.199,train,143445.0,50.0
9,-2.017583138956275,-0.7342749820484192,-0.2814807761679651,641.4513281,736.821814,1.0,1.0,1.0,49.199,train,143445.0,50.0
10,-2.385802567739262,-0.07667121494763118,0.06960774700738369,614.94805195,651.4245363,1.0,1.0,1.0,49.199,train,143445.0,50.0
11,-3.038782148597536,-1.2829064763747382,0.4096241399492498,452.7710436,494.22115329999997,1.0,1.0,1.0,49.199,train,143445.0,50.0
12,-2.2357424592072235,-1.5930924182549446,-0.11069021092383939,118.54596169999999,85.73500581,1.0,1.0,1.0,49.199,train,143445.0,50.0
13,-2.2192983095792145,-1.227975832412891,-0.23153376447097726,500.77535435,673.9345942,1.0,1.0,1.0,49.199,train,143445.0,50.0
14,-2.9919402855413075,-1.3010783075857488,0.2844704682035593,374.27400124999997,428.21716805,1.0,1.0,1.0,49.199,train,143445.0,50.0
15,-1.5555992590009398,-2.935622046921634,-0.44873273704882655,174.487737,115.39359721,1.0,1.0,1.0,49.199,train,143445.0,50.0
16,-1.3809437726028408,-1.04269900741846,-0.5896763380124219,295.03835265,297.7000912,1.0,1.0,1.0,49.199,train,143445.0,50.0
17,-0.9290624343461941,-0.22286092767796947,-0.15086844611392183,301.4299987,346.70250965,1.0,1.0,1.0,49.199,train,143445.0,50.0
18,-1.3323353452150215,-2.1001503657388354,-0.02698848487223305,350.9618475,361.6651543,1.0,1.0,1.0,49.199,train,143445.0,50.0
19,-1.7610454219037928,-1.86827566790156,-0.35577318070260316,373.51947459999997,303.05611711,1.0,1.0,1.0,49.199,train,143445.0,50.0
20,-3.2735926293135327,-0.7283773391989364,-0.5024799961509677,452.23770085,495.84022105,1.0,1.0,1.0,49.199,train,143445.0,50.0
21,-3.3345192801242622,-2.107146169927595,-0.411875061640758,73.60681774,5.0215685385,1.0,0.0,0.0,49.297,train,178187.0,50.0
22,-3.406336302751035,-1.022491094702321,-0.3288681307426837,75.45237974,5.3585126590000005,1.0,0.0,0.0,49.297,train,178187.0,50.0
23,-3.2711415357835603,-2.418031289608613,-0.8756175107023898,105.9865812,7.4238056265,1.0,0.0,0.0,49.297,train,178187.0,50.0
24,-3.652372947633709,0.10530451660625724,0.9143252395289827,143.152333405,343.307515965,1.0,0.0,0.0,49.965,train,185922.0,50.0
25,-2.0280687307103986,-1.3274688872228015,0.3487028121536506,212.72362435,415.07088409999994,1.0,0.0,0.0,49.965,train,185922.0,50.0
26,-3.1330721139893574,-0.2218851149433216,2.1796457341952915,90.21243436,174.40681645,1.0,0.0,0.0,49.965,train,185922.0,50.0
27,-1.681393810124293,2.002162330262031,1.0184085519478767,262.537816,487.26844329999994,1.0,0.0,0.0,49.965,train,185922.0,50.0
28,-3.4517381000044227,-1.710199037877952,2.115313912086332,101.285077155,144.598702865,1.0,0.0,0.0,49.965,train,185922.0,50.0
29,-2.9784930082208896,-0.4827179193942195,0.49323960776771797,172.6606161,385.61866975000004,1.0,0.0,0.0,49.965,train,185922.0,50.0
30,-2.546793903387236,0.7002691942478732,1.2430323831067167,264.7466138,470.9129759,1.0,0.0,0.0,49.965,train,185922.0,50.0
31,-3.730650644340192,-0.16954507743039576,1.0536845803366566,247.23036324999998,629.47401405,1.0,0.0,0.0,49.965,train,185922.0,50.0
32,-2.4256251571590495,-0.36645093325551037,3.889810248600195,133.50551425,370.95373725,1.0,0.0,0.0,49.965,train,185922.0,50.0
33,-3.3839757237540864,3.160086140054436,1.7233903201308771,297.0445549,701.6715732499999,1.0,0.0,0.0,49.965,train,185922.0,50.0
34,-3.5673487633861605,-2.041339587236482,0.9944122750737557,185.424139455,356.404262915,1.0,0.0,0.0,49.965,train,185922.0,50.0
35,-2.1130929149579467,0.8191752166199382,0.2686157766088774,170.4518183,401.97413715000005,1.0,0.0,0.0,49.965,train,185922.0,50.0
36,-3.170405080664613,-0.27817607026519875,0.9193847563750462,70.273466815,100.045878415,1.0,0.0,0.0,49.965,train,185922.0,50.0
37,-2.818073241477993,3.761996287935887,1.5934900236658263,155.08707195,560.96309885,1.0,0.0,0.0,49.965,train,185922.0,50.0
38,-1.980891421111143,1.3021793421293242,1.113132086641666,122.78913084999999,330.2045015,1.0,0.0,0.0,49.965,train,185922.0,50.0
